Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,VAR_official,AVAR_official,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_pb_T1,Atp_on_pb_T2,Atp_off_T1,Atp_off_T2,Svs_T1,Svs_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,PssC_T1,PssC_T2,PssC_%_T1,PssC_%_T2,LngP_T1,LngP_T2,MdmP_T1,MdmP_T2,ShrP_T1,ShrP_T2,BuP_T1,BuP_T2,CntA_T1,CntA_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Crs_Cmp_NrCrn_l_T1,Crs_Cmp_NrCrn_r_T1,Crs_Cmp_FnlThr_l_T1,Crs_Cmp_FnlThr_r_T1,Crs_Cmp_BfrFnlThr_l_T1,Crs_Cmp_BfrFnlThr_r_T1,Crs_Cmp_NrCrn_l_T2,Crs_Cmp_NrCrn_r_T2,Crs_Cmp_FnlThr_l_T2,Crs_Cmp_FnlThr_r_T2,Crs_Cmp_BfrFnlThr_l_T2,Crs_Cmp_BfrFnlThr_r_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2018-2019,29,FIORENTINA,TORINO,31/03/2019,STADIUM ARTEMIO FRANCHI,15:00:00,FABRIZIO  PASQUA,DARIO  CECCONI,ALFONSO  MARRAZZO,FRANCESCO  FOURNEAU,MAURIZIO  MARIANI,SALVATORE LONGO,1,1,D,STEFANO PIOLI,WALTER MAZZARRI,4-3-3,3-5-2,98'59,54'58,0.56,22'42 (41%),12'45 (56%),9'57 (44%),32'16 (59%),21'30 (67%),10'46 (33%),3'20,2'31,3'26,5'24,3'07,4'53,4'28,5'15,6'38,4'12,3'09,8'34,16,6,8(1),2(1),0,0,7,1,8,4,1,7,7,3,1,1,1,0,7,5,15,8,235,309,0.68,0.71,20,32,64,81,151,196,21,17,28,19,0 (0),0 (0),103.648,29.024,66.963,7.661,104.825,30.594,65.662,8.569,6.3,6.2,15 (26%),12 (21%),30 (53%),16 (38%),10 (24%),16 (38%),1/1,1/2,2/2,1/2,0/2,2/4,2/3,1/2,1/2,1/2,2/2,2/2,GIOVANNI SIMEONE,9,DANIELE BASELLI,8,2.1,3.2,3.8
2018-2019,29,FROSINONE,SPAL,31/03/2019,STADIUM BENITO STIRPE,15:00:00,MARCO  DI BELLO,DAMIANO  DI IORIO,STEFANO  LIBERTI,NICCOLO'  BARONI,LUIGI  NASCA,RODOLFO DI VUOLO,0,1,A,MARCO BARONI,LEONARDO SEMPLICI,3-5-2,3-5-2,95'01,46'20,0.49,23'54 (52%),11'49 (49%),12'05 (51%),22'26 (48%),15'50 (71%),6'36 (29%),2'57,4'31,3'44,4'09,4'33,4'00,4'16,5'35,3'57,2'36,2'56,3'06,19,5,9(0),3(1),0,1,5,2,10,2,2,7,8,3,0,1,0,0,8,3,19,14,389,318,0.79,0.74,26,23,155,90,208,205,28,19,22,23,0 (0),0 (0),107.482,28.512,71.772,7.198,106.938,29.48,70.018,7.44,6.7,6.7,19 (29%),18 (28%),28 (43%),7 (21%),4 (11%),23 (68%),0/1,0/1,5/8,3/6,0/0,0/0,0/0,0/1,0/3,2/5,0/0,0/0,LUCA VALZANIA,16,FRANCESCO VICARI,23,2.9,3.1,2.6
2018-2019,29,ROMA,NAPOLI,31/03/2019,STADIUM OLIMPICO,15:00:00,GIANPAOLO  CALVARESE,GIORGIO  PERETTI,STEFANO  DEL GIOVANE,JUAN LUCA  SACCHI,PIERO  GIACOMELLI,MAURO TONOLINI,1,4,A,CLAUDIO RANIERI,CARLO ANCELOTTI,4-2-3-1,4-4-2,96'18,52'58,0.55,22'28 (42%),10'12 (45%),12'16 (55%),30'30 (58%),19'32 (64%),10'58 (36%),3'52,2'30,5'07,3'32,3'57,3'30,4'52,7'07,5'49,3'22,2'49,6'31,11,12,5(1),10(4),1,1,2,7,6,2,6,3,7,8,0,3,0,2,4,7,14,14,342,583,0.84,0.9,19,17,100,186,223,380,27,35,15,14,1 (1),0 (0),107.037,27.547,70.89,8.6,102.416,29.534,64.171,8.711,6.7,6.4,11 (30%),10 (27%),16 (43%),21 (50%),8 (19%),13 (31%),0/0,0/1,2/4,4/5,0/0,0/0,0/0,0/1,3/3,1/3,0/0,0/0,DIEGO PEROTTI,8,SIMONE VERDI,9,3.1,3.5,2.3
2018-2019,29,BOLOGNA,SASSUOLO,31/03/2019,STADIUM RENATO DALL'ARA,18:00:00,MARCO  GUIDA,LORENZO  MANGANELLI,PASQUALE  DE MEO,MARCO  SERRA,DAVIDE  MASSA,STEFANO ALASSIO,2,1,H,SINISA MIHAJLOVIC,ROBERTO DE ZERBI,4-2-3-1,4-3-3,98'46,40'45,0.41,18'43 (46%),8'30 (45%),10'13 (55%),22'02 (54%),13'07 (60%),8'55 (40%),3'22,3'59,3'38,3'00,2'23,2'21,2'13,1'43,5'22,3'16,2'33,6'54,10,5,8(2),4(1),2,0,5,3,2,1,2,6,7,3,1,0,6,2,9,4,17,18,257,353,0.73,0.77,19,14,86,129,152,210,15,16,35,22,1 (1),0 (0),105.987,28.164,69.186,8.637,104.464,28.865,67.326,8.273,6.4,6.3,24 (44%),9 (17%),21 (39%),20 (43%),7 (16%),19 (41%),0/0,0/2,2/3,4/6,0/0,0/0,0/0,0/2,0/2,1/2,0/0,0/0,MATTIA DESTRO,22,STEFANO SENSI,12,2.05,3.4,3.75
2018-2019,29,INTER,LAZIO,31/03/2019,STADIUM GIUSEPPE MEAZZA,20:30:00,PAOLO SILVIO  MAZZOLENI,DANIELE  BINDONI,MAURO  VIVENZI,EUGENIO  ABBATTISTA,GIANLUCA  ROCCHI,ELENITO DI LIBERATORE,0,1,A,LUCIANO SPALLETTI,SIMONE INZAGHI,4-2-3-1,3-5-2,96'03,56'41,0.59,34'10 (60%),9'06 (27%),25'04 (73%),22'31 (40%),14'33 (65%),7'58 (35%),4'49,4'43,5'51,5'22,6'17,7'08,5'21,4'47,2'48,3'45,2'11,3'39,11,6,6(0),5(1),0,0,3,4,5,1,4,6,4,5,0,1,1,1,12,3,11,13,578,296,0.89,0.76,27,25,172,73,379,198,34,14,28,10,0 (0),0 (0),112.975,29.798,74.213,8.964,114.247,28.354,78.14,7.753,6.8,6.8,38 (45%),11 (13%),36 (42%),13 (46%),4 (15%),11 (39%),3/4,1/1,8/11,4/7,0/2,1/1,0/0,1/1,0/0,0/2,0/0,0/1,MATTEO POLITANO,16,SERGEJ MILINKOVIC-SAVIC,21,2.25,3.3,3.3
2018-2019,30,MILAN,UDINESE,02/04/2019,STADIUM GIUSEPPE MEAZZA,19:00:00,LUCA  BANTI,VALENTINO  FIORITO,LORENZO  GORI,DAVIDE  GHERSINI,FABRIZIO  PASQUA,GIORGIO SCHENONE,1,1,D,GENNARO GATTUSO,IGOR TUDOR,4-3-1-2,3-5-2,98'40,49'04,0.5,27'20 (56%),12'41 (46%),14'39 (54%),21'44 (44%),15'28 (71%),6'16 (29%),3'42,4'18,4'37,4'00,4'44,5'59,3'52,3'08,2'36,4'24,3'33,4'11,12,7,9(1),3(1),1,0,8,1,3,4,2,7,8,5,0,1,0,0,7,5,13,11,439,319,0.84,0.76,20,36,168,83,251,200,35,21,26,17,0 (0),0 (0),108.937,29.406,71.974,7.557,107.73,30.044,70.116,7.57,6.3,6.3,24 (38%),16 (24%),24 (38%),14 (45%),4 (13%),13 (42%),3/4,0/0,1/6,5/13,0/0,0/0,1/2,0/0,1/4,1/3,0/0,0/0,KRZYSZTOF PIATEK,19,KEVIN LASAGNA,15,1.44,4.33,8.0
2018-2019,30,CAGLIARI,JUVENTUS,02/04/2019,STADIUM SARDEGNA ARENA,21:00:00,PIERO  GIACOMELLI,ENRICO  CALIARI,DAVIDE  IMPERIALE,LIVIO  MARINELLI,FEDERICO  LA PENNA,ALFONSO MARRAZZO,0,2,A,ROLANDO MARAN,MASSIMILIANO ALLEGRI,4-3-1-2,3-5-2,94'03,50'31,0.54,22'03 (44%),13'14 (60%),8'49 (40%),28'28 (56%),15'48 (56%),12'40 (44%),2'37,4'50,4'16,4'03,3'13,3'04,3'42,4'22,4'23,4'31,5'15,6'15,5,11,1(0),6(2),0,0,1,5,4,5,4,1,2,7,0,2,2,3,3,5,17,10,346,424,0.76,0.82,14,22,128,149,204,253,15,19,12,20,0 (0),0 (0),108.841,25.298,73.867,9.676,106.816,26.252,71.738,8.826,7.0,7.0,14 (34%),6 (15%),21 (51%),12 (26%),12 (25%),23 (49%),0/0,0/1,0/0,3/4,2/3,1/1,1/1,0/1,4/5,3/5,0/0,0/0,LEONARDO PAVOLETTI,30,MOISE KEAN,18,5.25,3.4,1.75
2018-2019,30,EMPOLI,NAPOLI,03/04/2019,STADIUM CARLO CASTELLANI,19:00:00,DANIELE  DOVERI,SALVATORE  LONGO,DOMENICO  ROCCA,ANTONIO  RAPUANO,ROSARIO  ABISSO,FILIPPO VALERIANI,2,1,H,AURELIO ANDREAZZOLI,CARLO ANCELOTTI,3-5-2,4-4-2,97'55,62'18,0.64,27'03 (43%),16'54 (62%),10'09 (38%),35'15 (57%),18'04 (51%),17'11 (49%),5'12,5'27,4'08,3'53,3'32,4'51,6'53,6'10,5'40,3'29,5'39,7'24,13,11,9(2),5(1),0,0,7,3,4,6,4,7,9,7,1,1,0,2,8,2,13,6,333,614,0.81,0.89,26,23,105,171,202,420,22,37,17,22,0 (0),0 (0),110.1,28.459,72.3,9.341,108.027,28.45,69.153,10.424,6.7,6.5,20 (43%),9 (19%),18 (38%),29 (45%),12 (18%),24 (37%),1/3,0/0,2/3,2/4,1/1,1/3,3/4,0/0,1/3,4/7,2/6,1/4,DIEGO FARIAS,17,PIOTR ZIELINSKI,20,7.0,4.75,1.44
2018-2019,30,FROSINONE,PARMA,03/04/2019,STADIUM BENITO STIRPE,21:00:00,GIANLUCA  MANGANIELLO,ANTONIO  SANTORO,MICHELE  LOMBARDI,VALERIO  MARINI,ALEANDRO  DI PAOLO,FABRIZIO POSADO,3,2,H,MARCO BARONI,ROBERTO D'AVERSA,3-4-1-2,4-3-3,108'45,38'53,0.36,22'17 (57%),10'54 (49%),11'23 (51%),16'36 (43%),11'00 (66%),5'36 (34%),4'29,1'01,6'18,2'05,3'54,4'30,2'59,1'27,3'46,3'01,2'55,2'28,14,10,5(3),6(2),1,1,4,5,9,4,3,1,6,4,2,0,2,3,3,3,14,19,419,241,0.83,0.7,20,24,168,88,231,129,23,12,20,26,1 (1),1 (1),110.258,30.056,71.579,8.623,106.777,29.704,69.669,7.404,6.2,5.9,24 (44%),13 (23%),18 (33%),10 (27%),7 (19%),20 (54%),1/2,0/1,7/11,3/4,0/0,0/0,0/0,0/1,0/1,1/1,0/0,0/0,ANDREA PINAMONTI,89,ANTONINO BARILLA',17,2.4,3.2,3.1
2018-2019,30,GENOA,INTER,03/04/2019,STADIUM LUIGI FERRARIS,21:00:00,MAURIZIO  MARIANI,GIANLUCA  VUOTO,GIANMATTIA  TASSO,DANIELE  CHIFFI,MARCO  DI BELLO,STEFANO LIBERTI,0,4,A,CESARE PRANDELLI,LUCIANO SPALLETTI,4-4-2,4-2-3-1,91'08,58'18,0.64,15'20 (26%),9'24 (61%),5'56 (39%),42'58 (74%),21'12 (49%),21'46 (51%),1'19,3'13,1'59,1'42,3'02,4'05,8'33,5'51,5'58,8'55,7'14,6'26,5,12,2(0),9(4),0,1,2,7,3,3,4,2,3,10,0,3,1,3,1,6,9,12,213,836,0.74,0.92,12,42,76,266,125,528,16,39,13,10,0 (0),1 (1),109.06,23.204,76.912,8.944,108.553,27.893,72.822,7.838,7.2,6.9,12 (44%),5 (19%),10 (37%),16 (29%),9 (16%),30 (55%),0/0,2/2,2/2,0/1,0/0,0/0,0/1,2/2,2/2,4/4,0/0,0/0,CHRISTIAN KOUAME,11,ROBERTO GAGLIARDINI,5,4.0,3.25,2.05
2018-2019,30,ROMA,FIORENTINA,03/04/2019,STADIUM OLIMPICO,21:00:00,DAVIDE  MASSA,STEFANO  ALASSIO,ELENITO  DI LIBERATORE,GIANPAOLO  CALVARESE,PAOLO SILVIO  MAZZOLENI,DANIELE BINDONI,2,2,D,CLAUDIO RANIERI,STEFANO PIOLI,4-3-3,4-3-1-2,95'05,47'59,0.5,21'47 (45%),10'20 (47%),11'27 (53%),26'12 (55%),18'15 (70%),7'57 (30%),3'41,3'09,3'00,4'04,3'23,4'29,3'33,4'57,5'27,4'16,3'21,4'38,12,10,6(2),5(2),1,0,3,3,6,5,2,3,7,6,2,1,0,1,4,6,15,15,350,381,0.8,0.81,17,24,86,134,247,223,29,22,21,15,0 (0),0 (0),108.524,28.484,71.175,8.865,108.268,28.512,71.35,8.406,6.6,6.6,25 (49%),7 (14%),19 (37%),20 (49%),8 (19%),13 (32%),0/2,2/2,2/4,3/6,0/0,0/0,0/0,2/2,3/3,1/2,0/0,0/0,DIEGO PEROTTI,8,GERSON,8,2.0,3.5,3.75
2018-2019,30,SPAL,LAZIO,03/04/2019,STADIUM PAOLO MAZZA,21:00:00,MARCO  GUIDA,TARCISIO  VILLA,RODOLFO  DI VUOLO,ANTONIO  GIUA,DANIELE  ORSATO,LUCA MONDIN,1,0,H,LEONARDO SEMPLICI,SIMONE INZAGHI,3-5-2,3-5-1-1,99'02,48'43,0.49,19'19 (40%),8'34 (44%),10'45 (56%),29'24 (60%),9'23 (32%),20'01 (68%),2'20,1'59,3'52,4'29,1'52,4'46,5'29,5'28,7'14,4'15,4'03,2'55,8,9,4(1),5(0),1,0,3,3,4,4,4,3,6,4,0,0,0,5,2,7,10,17,258,536,0.74,0.85,18,19,76,212,164,305,14,34,15,14,1 (1),0 (0),110.492,27.063,74.847,8.582,110.078,27.799,73.299,8.98,6.8,6.7,10 (26%),6 (16%),22 (58%),19 (36%),18 (34%),16 (30%),2/3,3/4,0/3,2/3,0/0,1/2,0/2,3/4,1/2,2/3,0/0,3/4,ANDREA PETAGNA,37,LUCAS LEIVA,6,5.0,3.75,1.72
2018-2019,30,TORINO,SAMPDORIA,03/04/2019,STADIUM OLIMPICO GRANDE TORINO,21:00:00,FABIO  MARESCA,ALESSANDRO  COSTANZO,ALESSIO  TOLFO,EUGENIO  ABBATTISTA,GIANLUCA  AURELIANO,ALESSANDRO LO CICERO,2,1,H,WALTER MAZZARRI,MARCO GIAMPAOLO,3-5-1-1,4-3-1-2,99'02,38'23,0.39,19'04 (50%),7'02 (37%),12'02 (63%),19'19 (50%),11'44 (61%),7'35 (39%),3'04,2'31,3'10,4'16,2'39,3'24,3'11,3'05,2'00,3'35,3'03,4'25,14,6,6(2),3(1),0,0,3,1,8,3,2,4,7,4,1,1,1,0,6,3,13,12,249,308,0.68,0.71,22,14,81,87,146,207,17,12,25,19,0 (0),0 (0),102.602,29.486,63.938,9.178,99.087,28.612,62.18,8.295,6.1,5.8,20 (47%),6 (13%),17 (40%),8 (22%),11 (31%),17 (47%),3/4,2/2,4/5,2/2,0/0,1/1,0/0,2/2,0/0,0/1,0/0,0/0,ANDREA BELOTTI,9,MANOLO GABBIADINI,23,2.15,3.3,3.5
2018-2019,30,SASSUOLO,CHIEVOVERONA,04/04/2019,STADIUM MAPEI STADIUM,19:00:00,LORENZO  MAGGIONI,MAURO  TONOLINI,SALVATORE  AFFATATO,FEDERICO  DIONISI,PIERO  GIACOMELLI,DAMIANO DI IORIO,4,0,H,ROBERTO DE ZERBI,DOMENICO DI CARLO,4-3-3,3-4-1-2,95'07,45'25,0.48,26'18 (58%),15'15 (58%),11'03 (42%),19'07 (42%),9'08 (48%),9'59 (52%),3'33,3'49,3'53,4'54,4'22,5'47,4'10,2'46,3'01,2'34,3'05,3'30,13,9,8(4),5(0),2,1,6,5,5,4,5,4,9,5,4,0,1,2,5,4,14,17,442,343,0.84,0.81,21,29,159,118,262,196,19,13,19,19,0 (0),1 (0),109.202,27.169,74.307,7.726,110.988,26.236,76.603,8.149,6.7,6.8,16 (38%),4 (10%),22 (52%),13 (33%),11 (27%),16 (40%),0/2,2/2,0/0,1/1,0/0,1/1,1/1,2/2,0/0,0/0,2/3,1/1,MERIH DEMIRAL,3,BOSTJAN CESAR,12,1.66,3.75,5.5
2018-2019,30,ATALANTA,BOLOGNA,04/04/2019,STADIUM ATLETI AZZURRI D'ITALIA,21:00:00,GIANLUCA  ROCCHI,FILIPPO  MELI,MATTEO  PASSERI,MARCO  PICCININI,LUCA  PAIRETTO,SERGIO RANGHETTI,4,1,H,GIAN PIERO GASPERINI,SINISA MIHAJLOVIC,3-4-1-2,4-3-3,92'03,55'11,0.6,28'41 (52%),16'54 (59%),11'47 (41%),26'30 (48%),17'00 (64%),9'30 (36%),4'31,4'28,6'01,4'51,2'33,6'17,2'42,3'11,4'17,4'41,4'28,7'11,12,8,6(4),4(1),0,1,4,3,6,4,3,2,8,4,4,0,1,2,5,4,11,13,444,437,0.81,0.8,25,27,154,124,265,286,23,13,14,25,0 (0),0 (0),112.916,25.919,76.97,10.027,113.628,24.792,78.835,10.001,7.2,7.2,15 (33%),11 (24%),20 (43%),14 (25%),6 (11%),35 (64%),2/3,0/1,3/3,1/1,1/1,0/0,1/1,0/1,1/1,1/3,0/0,2/2,JOSIP ILICIC,72,RICCARDO ORSOLINI,7,1.5,4.2,7.0
2018-2019,31,PARMA,TORINO,06/04/2019,STADIUM ENNIO TARDINI,15:00:00,DANIELE  DOVERI,FABRIZIO  POSADO,DAMIANO  DI IORIO,LIVIO  MARINELLI,PIERO  GIACOMELLI,GIANLUCA VUOTO,0,0,D,ROBERTO D'AVERSA,WALTER MAZZARRI,3-5-2,3-5-2,95'58,38'34,0.4,13'18 (34%),8'52 (67%),4'26 (33%),25'16 (66%),8'40 (34%),16'36 (66%),2'42,1'41,3'22,2'07,1'24,2'02,4'48,4'27,4'27,4'26,3'09,3'59,5,12,1(0),4(0),0,0,1,3,4,8,4,1,2,3,0,0,3,0,3,4,20,21,182,384,0.67,0.85,29,33,48,130,105,221,11,21,21,30,0 (0),0 (0),98.146,27.767,62.427,7.952,99.541,29.524,61.174,8.843,6.3,6.2,14 (41%),2 (6%),18 (53%),34 (60%),7 (12%),16 (28%),0/0,1/1,1/2,0/0,0/0,0/0,0/1,1/1,3/4,3/5,0/0,0/0,FEDERICO DIMARCO,3,ANDREA BELOTTI,9,4.0,3.3,2.0
2018-2019,31,JUVENTUS,MILAN,06/04/2019,STADIUM ALLIANZ STADIUM,18:00:00,MICHAEL  FABBRI,SERGIO  RANGHETTI,STEFANO  DEL GIOVANE,FEDERICO  LA PENNA,GIANPAOLO  CALVARESE,ALESSIO TOLFO,2,1,H,MASSIMILIANO ALLEGRI,GENNARO GATTUSO,3-5-2,4-3-3,98'41,46'55,0.48,21'57 (47%),10'23 (47%),11'34 (53%),24'58 (53%),13'48 (55%),11'10 (45%),3'53,2'49,3'55,3'46,3'44,3'50,5'09,3'21,5'47,3'06,3'55,3'39,10,12,6(2),5(1),1,0,5,4,4,7,3,3,7,8,1,1,2,1,5,8,21,15,338,414,0.81,0.84,31,21,116,161,191,232,27,29,20,16,1 (1),0 (0),109.876,29.34,72.029,8.507,108.464,29.389,70.558,8.517,6.4,6.4,25 (56%),6 (13%),14 (31%),17 (36%),12 (26%),18 (38%),2/2,1/1,4/4,1/5,0/0,0/0,0/0,1/1,2/3,4/7,0/0,0/0,MOISE KEAN,18,KRZYSZTOF PIATEK,19,1.75,3.5,5.25
2018-2019,31,SAMPDORIA,ROMA,06/04/2019,STADIUM LUIGI FERRARIS,20:30:00,PAOLO SILVIO  MAZZOLENI,MAURO  VIVENZI,DARIO  CECCONI,MANUEL  VOLPI,MARCO  GUIDA,MAURO TONOLINI,0,1,A,MARCO GIAMPAOLO,CLAUDIO RANIERI,4-3-1-2,4-2-3-1,95'01,51'52,0.55,32'45 (63%),17'09 (52%),15'36 (48%),19'07 (37%),9'05 (48%),10'02 (52%),4'55,5'56,4'27,4'48,5'18,7'21,3'08,3'37,2'53,2'23,4'18,2'48,10,9,2(0),5(1),0,0,0,4,8,4,3,2,6,8,0,0,1,2,8,3,12,11,509,282,0.84,0.78,26,30,157,84,326,168,35,26,14,20,0 (0),0 (0),98.917,28.022,63.675,7.22,102.013,27.393,67.557,7.063,6.3,6.5,23 (44%),6 (12%),23 (44%),13 (33%),9 (22%),18 (45%),2/2,0/0,4/6,4/11,0/0,0/0,1/3,0/0,3/8,6/9,0/0,0/0,FABIO QUAGLIARELLA,27,DANIELE DE ROSSI,16,2.9,3.3,2.5
2018-2019,31,FIORENTINA,FROSINONE,07/04/2019,STADIUM ARTEMIO FRANCHI,12:30:00,DANIELE  CHIFFI,CIRO  CARBONE,LUIGI  ROSSI,ALESSANDRO  PRONTERA,LUIGI  NASCA,GIANMATTIA TASSO,0,1,A,STEFANO PIOLI,MARCO BARONI,4-3-2-1,3-5-2,98'05,55'51,0.57,30'47 (55%),14'56 (49%),15'51 (51%),25'04 (45%),19'13 (77%),5'51 (23%),4'47,5'20,5'20,4'05,3'53,7'22,2'44,5'05,3'54,4'08,4'19,4'54,14,6,5(0),3(1),0,0,4,3,9,3,2,4,5,5,0,1,0,0,10,7,19,16,416,211,0.79,0.65,32,17,153,70,231,124,31,13,31,19,0 (0),0 (0),108.65,29.429,70.06,9.161,110.474,27.891,73.522,9.061,6.4,6.7,26 (38%),10 (14%),33 (48%),16 (46%),7 (20%),12 (34%),4/4,2/2,3/5,8/14,3/4,1/1,0/0,2/2,3/3,3/3,1/2,0/0,FEDERICO CHIESA,25,DANIEL CIOFANI,9,1.5,4.0,7.5
2018-2019,31,CAGLIARI,SPAL,07/04/2019,STADIUM SARDEGNA ARENA,15:00:00,LUCA  BANTI,DANIELE  BINDONI,GIACOMO  PAGANESSI,IVANO  PEZZUTO,MARCO  DI BELLO,ALESSANDRO COSTANZO,2,1,H,ROLANDO MARAN,LEONARDO SEMPLICI,4-3-1-2,3-5-2,98'52,53'00,0.54,29'56 (56%),17'24 (58%),12'32 (42%),23'04 (44%),15'00 (65%),8'04 (35%),4'59,3'35,4'40,5'18,4'58,6'26,3'53,2'53,4'49,2'47,4'33,4'09,14,5,11(2),2(1),0,1,9,2,3,3,0,6,10,2,0,0,0,1,9,4,19,4,437,342,0.84,0.8,28,23,140,114,269,205,24,14,18,14,0 (0),1 (1),109.332,26.503,73.501,9.328,102.761,26.79,68.189,7.782,6.7,6.6,30 (54%),14 (25%),12 (21%),13 (38%),6 (18%),15 (44%),4/4,1/2,3/4,1/2,0/0,0/0,0/0,1/2,3/7,0/0,0/1,0/1,PAOLO FARAGO',24,ANDREA PETAGNA,37,2.15,3.2,3.6
2018-2019,31,UDINESE,EMPOLI,07/04/2019,"STADIUM FRIULI DENOMINAZIONE COMMERCIALE ""DACIA ARENA""",15:00:00,DANIELE  ORSATO,GIORGIO  PERETTI,ALBERTO  TEGONI,RICCARDO  ROS,DAVIDE  MASSA,STEFANO ALASSIO,3,2,H,IGOR TUDOR,AURELIO ANDREAZZOLI,3-5-2,3-5-2,99'20,46'12,0.47,19'33 (42%),11'59 (61%),7'34 (39%),26'39 (58%),12'58 (49%),13'41 (51%),4'58,2'21,4'32,2'13,1'58,3'31,3'07,5'13,2'57,3'31,6'05,5'46,14,12,6(3),6(2),1,0,4,5,8,6,3,2,9,9,1,2,1,0,6,6,8,9,254,489,0.77,0.87,21,18,64,149,169,322,18,32,17,20,1 (1),0 (0),100.603,28.827,64.095,7.681,102.911,29.827,64.899,8.185,6.1,6.1,14 (39%),8 (22%),14 (39%),19 (30%),18 (29%),26 (41%),1/2,0/1,2/5,0/1,0/0,1/1,4/7,0/1,3/6,4/8,1/1,1/4,RODRIGO DE PAUL,10,FRANCESCO CAPUTO,11,2.3,3.1,3.25
2018-2019,31,INTER,ATALANTA,07/04/2019,STADIUM GIUSEPPE MEAZZA,18:00:00,MASSIMILIANO  IRRATI,ALESSANDRO  LO CICERO,ALFONSO  MARRAZZO,FABIO  MARESCA,GIANLUCA  ROCCHI,ELENITO DI LIBERATORE,0,0,D,LUCIANO SPALLETTI,GIAN PIERO GASPERINI,4-3-3,3-4-3,93'59,55'36,0.59,30'00 (54%),16'09 (54%),13'51 (46%),25'36 (46%),12'28 (49%),13'08 (51%),4'32,3'00,6'07,5'04,4'56,6'20,3'59,6'46,4'30,3'42,3'14,3'25,7,5,6(0),2(0),0,0,4,2,1,3,1,4,7,3,0,0,2,0,8,4,10,13,461,383,0.82,0.8,34,15,157,142,270,226,27,30,12,13,0 (0),0 (0),112.241,29.043,73.359,9.839,115.688,27.265,78.51,9.913,6.9,7.0,26 (51%),11 (22%),14 (27%),16 (43%),7 (19%),14 (38%),1/2,0/1,6/16,3/5,0/0,0/0,1/1,0/1,3/5,5/8,0/0,0/0,MATIAS VECINO,8,JOSIP ILICIC,72,2.0,3.4,3.9
2018-2019,31,LAZIO,SASSUOLO,07/04/2019,STADIUM OLIMPICO,18:00:00,ROSARIO  ABISSO,FABIANO  PRETI,LUCA  MONDIN,JUAN LUCA  SACCHI,GIANLUCA  MANGANIELLO,SALVATORE LONGO,2,2,D,SIMONE INZAGHI,ROBERTO DE ZERBI,3-5-2,3-5-2,96'34,48'56,0.51,29'51 (61%),11'54 (40%),17'57 (60%),19'05 (39%),14'09 (74%),4'56 (26%),4'21,4'52,5'59,3'05,4'06,7'28,3'26,3'48,4'09,2'56,2'21,2'24,18,3,7(2),2(2),1,0,5,2,11,1,0,5,10,3,1,1,8,2,11,1,14,8,458,321,0.83,0.77,23,21,131,98,304,202,27,9,24,13,1 (1),0 (0),110.317,26.826,73.612,9.879,109.838,25.786,75.398,8.654,6.8,7.0,36 (51%),13 (19%),21 (30%),13 (42%),9 (29%),9 (29%),4/4,2/3,5/6,3/5,2/4,1/2,0/0,2/3,1/2,0/1,0/0,0/1,CIRO IMMOBILE,17,DOMENICO BERARDI,25,1.36,5.0,8.5
