Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,Add_Referee_1,Add_Referee_2,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_sp_T1,Atp_on_sp_T2,Atp_on_pb_T1,Atp_on_pb_T2,Atp_off_T1,Atp_off_T2,Atp_off_fk_T1,Atp_off_fk_T2,Atp_off_sp_T1,Atp_off_sp_T2,Svs_T1,Svs_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,Lst_Bls_T1,Lst_Bls_T2,Rcv_Bls_T1,Rcv_Bls_T2,Fst_Brk_T1,Fst_Brk_T2,Lng_Bls_T1,Lng_Bls_T2,Prs_Act_T1,Prs_Act_T2,Wrg_Pss_T1,Wrg_Pss_T2,BuP_T1,BuP_T2,CntA_T1,CntA_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Crs_Cmp_NrCrn_l_T1,Crs_Cmp_NrCrn_r_T1,Crs_Cmp_FnlThr_l_T1,Crs_Cmp_FnlThr_r_T1,Crs_Cmp_BfrFnlThr_l_T1,Crs_Cmp_BfrFnlThr_r_T1,Crs_Cmp_NrCrn_l_T2,Crs_Cmp_NrCrn_r_T2,Crs_Cmp_FnlThr_l_T2,Crs_Cmp_FnlThr_r_T2,Crs_Cmp_BfrFnlThr_l_T2,Crs_Cmp_BfrFnlThr_r_T2,Rcv_Bls_Dfc_r_T1,Rcv_Bls_Dfc_l_T1,Rcv_Bls_Mdl_r_T1,Rcv_Bls_Mdl_l_T1,Rcv_Bls_Atk_r_T1,Rcv_Bls_Atk_l_T1,Rcv_Bls_Dfc_r_T2,Rcv_Bls_Dfc_l_T2,Rcv_Bls_Mdl_r_T2,Rcv_Bls_Mdl_l_T2,Rcv_Bls_Atk_r_T2,Rcv_Bls_Atk_l_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2016-2017,18,FIORENTINA,NAPOLI,22/12/2016,STADIUM ARTEMIO FRANCHI,20:45,PAOLO  TAGLIAVENTO,MAURO  TONOLINI,GIANLUCA  VUOTO,GIULIO  DOBOSZ,DANIELE  ORSATO,LUCA PAIRETTO,3,3,D,PAULO SOUSA,MAURIZIO SARRI,4-2-3-1,4-3-3,99'22,64'17,65%,32'18 (50%),21'27 (66%),10'51 (34%),31'59 (50%),17'29 (55%),14'30 (45%),4'52,5'18,5'35,6'05,3'56,6'32,5'04,4'25,6'56,4'22,4'21,6'51,12,10,7(3),9(3),1,1,0,0,5,5,0,0,0,0,0,0,5,3,11,11,4,3,4,3,3,2,11,7,52,63,25,21,8,5,14,8,3,3,39,51,18,32,0,1,0 (0),1 (1),117.943,25.669,81.053,11.221,117.778,26.083,78.805,12.89,7.2,7,5 (19%),11 (43%),10 (38%),13 (39%),15 (46%),5 (15%),0/0,1/1,5/6,2/4,0/0,0/0,2/2,1/1,5/7,0/5,0/0,0/0,7,7,2,7,1,1,1,5,7,4,1,3,FEDERICO BERNARDESCHI,10,DRIES MERTENS,14,3.5,3.5,2.1
2016-2017,18,PALERMO,PESCARA,22/12/2016,STADIUM RENZO BARBERA,20:45,DAVIDE  MASSA,SERGIO  RANGHETTI,OMAR  GAVA,MAURO  VIVENZI,MASSIMILIANO  IRRATI,DANIELE CHIFFI,1,1,D,EUGENIO CORINI,MASSIMO ODDO,3-4-2-1,4-3-3,95'59,44'08,46%,21'04 (48%),11'17 (54%),9'47 (46%),23'04 (52%),12'27 (54%),10'37 (46%),4'59,5'53,2'40,2'45,2'55,1'52,3'07,2'27,5'02,4'29,3'39,4'20,4,7,2(1),2(1),0,1,0,0,0,2,0,0,2,1,0,0,1,1,2,3,1,0,2,4,1,8,13,15,21,17,21,15,1,2,16,6,0,0,17,9,16,23,0,0,0 (0),1 (1),101.411,26.614,67.548,7.249,102.962,26.496,69.366,7.1,6.6,6.6,7 (47%),4 (26%),4 (27%),11 (50%),3 (14%),8 (36%),2/3,0/1,0/2,0/1,0/0,0/0,0/2,0/1,1/1,0/1,0/0,0/0,6,4,6,4,0,1,3,1,4,6,0,1,ROBIN QUAISON,21,CRISTIANO BIRAGHI,3,2.2,3.3,3.4
2016-2017,18,ROMA,CHIEVOVERONA,22/12/2016,STADIUM OLIMPICO,20:45,GIANPAOLO  CALVARESE,VALENTINO  FIORITO,STEFANO  ALASSIO,CLAUDIO  LA ROCCA,PIERO  GIACOMELLI,FRANCESCO SAIA,3,1,H,LUCIANO SPALLETTI,ROLANDO MARAN,3-4-3,4-3-1-2,95'46,54'12,57%,35'36 (66%),11'19 (32%),24'17 (68%),18'36 (34%),13'17 (71%),5'19 (29%),6'10,5'04,6'14,5'29,6'30,6'09,3'41,2'59,2'14,2'40,3'18,3'43,23,5,12(3),2(1),4,0,2,0,6,1,0,0,1,0,0,0,1,7,16,2,4,1,3,2,9,1,8,12,37,32,29,26,3,1,11,35,2,4,30,18,39,12,2,0,1 (1),0 (0),107.082,28.551,70.343,8.188,109.89,26.333,75.584,7.973,6.8,7,9 (23%),18 (44%),13 (33%),2 (20%),6 (60%),2 (20%),3/3,3/7,1/2,5/10,3/3,3/4,0/0,3/7,2/2,1/3,0/0,0/0,4,3,9,8,2,3,5,10,6,4,1,0,STEPHAN EL SHAARAWY,92,JONATHAN DE GUZMAN,1,1.33,5.5,8
2016-2017,18,SAMPDORIA,UDINESE,22/12/2016,STADIUM LUIGI FERRARIS,20:45,CLAUDIO  GAVILLUCCI,GIANMATTIA  TASSO,RODOLFO  DI VUOLO,DAMIANO  DI IORIO,NICOLA  RIZZOLI,MARCO MAINARDI,0,0,D,MARCO GIAMPAOLO,LUIGI DELNERI,4-3-1-2,4-1-4-1,93'56,51'21,55%,30'12 (59%),16'04 (53%),14'08 (47%),21'09 (41%),13'25 (63%),7'44 (37%),4'35,5'20,4'36,5'28,5'18,4'55,3'52,2'26,4'39,2'01,4'35,3'36,8,4,3(0),3(0),0,0,0,0,2,1,0,0,0,1,0,0,3,3,5,1,0,2,2,4,6,2,10,10,51,34,42,51,0,2,9,26,2,1,41,23,9,6,0,0,0 (0),0 (0),100.976,27.419,65.906,7.651,105.229,28.375,69.22,7.634,6.4,6.5,2 (9%),11 (48%),10 (43%),3 (17%),7 (39%),8 (44%),0/0,1/4,0/1,0/4,0/0,0/0,0/0,1/4,1/2,1/5,0/0,0/0,10,13,7,10,1,1,18,15,6,9,2,1,LUCAS TORREIRA,34,EMMANUEL BADU,8,2.2,3.4,3.3
2016-2017,18,TORINO,GENOA,22/12/2016,STADIUM OLIMPICO GRANDE TORINO,20:45,FABIO  MARESCA,GIORGIO  PERETTI,VALERIO  PEGORIN,ALESSANDRO  LO CICERO,MARCO  DI BELLO,ALEANDRO DI PAOLO,1,0,H,SINISA MIHAJLOVIC,IVAN JURIC,4-3-3,3-4-2-1,95'11,44'32,47%,22'24 (50%),11'09 (50%),11'15 (50%),22'08 (50%),8'14 (37%),13'54 (63%),4'55,2'19,3'06,2'46,5'20,3'58,3'35,2'24,3'20,3'18,4'08,5'23,8,10,5(1),4(0),0,1,0,0,4,2,0,0,0,0,0,0,4,4,8,7,1,3,1,1,5,13,14,17,31,42,11,20,2,3,9,15,2,2,24,26,26,30,1,0,0 (0),0 (0),105.045,29.192,66.953,8.9,102.809,29.397,64.606,8.806,6.5,6.3,4 (14%),15 (54%),9 (32%),8 (23%),17 (48%),10 (29%),0/0,2/2,2/4,0/0,0/0,0/0,0/1,2/2,3/6,3/4,0/0,0/0,2,0,5,3,1,0,3,4,4,8,0,1,ANDREA BELOTTI,9,GIOVANNI SIMEONE,9,1.83,3.6,4.5
2016-2017,18,CROTONE,JUVENTUS,08/02/2017,STADIUM EZIO SCIDA,18:00,PAOLO  VALERI,ALESSANDRO  GIALLATINI,SERGIO  RANGHETTI,CIRO  CARBONE,MARCO  GUIDA,MARCO DI BELLO,0,2,A,DAVIDE NICOLA,MASSIMILIANO ALLEGRI,4-4-2,4-2-3-1,93'02,60'36,65%,15'22 (25%),10'27 (68%),4'55 (32%),45'14 (75%),24'23 (54%),20'51 (46%),2'59,2'24,3'01,2'25,1'26,3'07,7'09,7'37,6'05,5'51,7'09,11'23,4,14,2(0),11(2),0,0,1,0,1,10,0,0,0,0,0,0,7,2,2,9,0,5,1,2,0,1,8,9,23,29,21,27,2,1,21,0,0,0,9,20,8,27,0,0,0 (0),0 (0),112.761,26.956,79.4,6.405,106.375,29.506,70.409,6.46,7,6.7,4 (50%),3 (37%),1 (13%),11 (32%),7 (21%),16 (47%),0/0,0/0,0/0,0/1,0/0,0/0,1/2,0/0,1/1,4/4,0/0,0/0,7,8,3,3,0,0,8,3,4,9,2,1,DIEGO FALCINELLI,11,GONZALO HIGUAIN,9,13,6,1.22
2016-2017,18,BOLOGNA,MILAN,08/02/2017,STADIUM RENATO DALL'ARA,20:45,DANIELE  DOVERI,GIANLUCA  CARIOLATO,GIORGIO  PERETTI,FABRIZIO  POSADO,CARMINE  RUSSO,PIERO GIACOMELLI,0,1,A,ROBERTO DONADONI,VINCENZO MONTELLA,4-3-3,4-3-3,97'57,53'23,55%,29'01 (54%),12'56 (45%),16'05 (55%),24'22 (46%),14'34 (60%),9'48 (40%),3'40,4'14,5'58,4'11,4'59,5'59,5'20,3'59,4'42,4'38,2'56,2'47,17,6,9(0),5(1),0,0,0,1,7,4,0,0,0,0,1,0,3,6,11,6,3,2,3,2,7,9,12,12,30,26,22,23,11,10,9,28,12,4,33,28,21,8,1,0,0 (0),0 (0),108.437,30.226,68.092,10.119,97.404,26.079,63.408,7.917,6.4,6.4,26 (46%),18 (33%),12 (21%),17 (37%),13 (28%),16 (35%),2/3,1/1,2/4,5/6,1/1,2/3,0/1,1/1,0/1,1/3,1/1,0/0,6,6,1,9,0,0,11,5,3,4,0,0,LADISLAV KREJCI,11,GERARD DEULOFEU,7,3.4,3.25,2.25
2016-2017,19,EMPOLI,PALERMO,07/01/2017,STADIUM CARLO CASTELLANI,18:00,PAOLO  VALERI,ANDREA  MARZALONI,STEFANO  DEL GIOVANE,CIRO  CARBONE,LUCA  PAIRETTO,FABRIZIO PASQUA,1,0,H,GIOVANNI MARTUSCIELLO,EUGENIO CORINI,4-3-1-2,3-4-2-1,96'04,57'37,60%,28'24 (49%),18'50 (66%),9'34 (34%),29'13 (51%),19'45 (68%),9'28 (32%),5'24,3'32,4'39,4'03,5'12,5'34,5'11,5'15,5'08,3'43,4'17,5'39,4,11,2(1),8(0),1,0,0,0,1,7,0,0,0,0,0,0,6,1,5,5,1,0,4,3,6,2,12,14,40,39,12,12,4,2,10,17,1,1,39,43,21,21,2,1,1 (1),0 (0),114.381,26.577,77.421,10.383,113.089,26.521,77.099,9.469,6.9,7,12 (43%),11 (39%),5 (18%),6 (20%),17 (57%),7 (23%),2/4,1/1,1/5,1/4,0/0,0/0,0/0,1/1,1/5,3/6,0/0,0/0,4,1,4,3,0,0,1,2,6,3,0,0,MASSIMO MACCARONE,7,ILIJA NESTOROVSKI,30,2.05,3.3,3.8
2016-2017,19,NAPOLI,SAMPDORIA,07/01/2017,STADIUM SAN PAOLO,20:45,MARCO  DI BELLO,LORENZO  MANGANELLI,ALESSANDRO  LO CICERO,VALERIO  PEGORIN,LUCA  BANTI,MICHAEL FABBRI,2,1,H,MAURIZIO SARRI,MARCO GIAMPAOLO,4-3-3,4-3-1-2,97'24,53'43,55%,36'54 (69%),20'33 (56%),16'21 (44%),16'49 (31%),12'10 (72%),4'39 (28%),6'13,6'08,4'28,5'47,5'26,8'52,4'00,2'07,4'12,2'26,1'21,2'43,20,7,9(2),4(0),1,0,0,0,7,3,0,0,2,0,1,1,2,7,12,6,5,1,4,3,9,3,12,14,60,38,24,41,2,3,3,31,0,22,43,51,42,4,0,0,0 (0),0 (0),108.927,25.792,73.348,9.787,107.605,25.07,74.12,8.415,7,7,30 (55%),13 (23%),12 (22%),11 (39%),10 (36%),7 (25%),3/5,0/0,4/7,0/1,2/2,2/3,0/1,0/0,2/3,0/3,1/1,0/1,4,2,6,11,0,1,11,1,14,10,4,1,MANOLO GABBIADINI,23,PATRICK SCHICK,14,1.29,5.5,10
2016-2017,19,UDINESE,INTER,08/01/2017,"STADIUM FRIULI DENOMINAZIONE COMMERCIALE ""DACIA ARENA""",12:30,DANIELE  DOVERI,ALESSANDRO  COSTANZO,GIUSEPPE  DE PINTO,CLAUDIO  LA ROCCA,PAOLO  TAGLIAVENTO,GIANLUCA AURELIANO,1,2,A,LUIGI DELNERI,STEFANO PIOLI,4-3-3,4-2-3-1,97'51,48'34,50%,22'35 (46%),11'28 (51%),11'07 (49%),25'59 (54%),13'23 (52%),12'36 (48%),3'00,3'51,2'43,3'24,4'16,5'21,4'51,4'13,5'23,4'33,3'21,3'38,13,10,6(1),6(2),0,0,0,1,2,4,0,0,2,1,0,1,3,4,13,11,4,2,1,4,3,7,19,12,46,51,27,34,8,4,24,8,0,0,27,42,12,23,3,1,0 (0),0 (0),108.255,28.872,70.838,8.545,110.602,28.546,72.966,9.09,6.6,6.7,7 (29%),9 (38%),8 (33%),12 (41%),7 (25%),10 (34%),1/1,0/1,0/2,2/4,0/0,0/0,2/2,0/1,2/6,4/7,0/0,0/0,1,0,5,7,6,8,2,2,6,5,7,12,JAKUB JANKTO,14,IVAN PERISIC,44,3.75,3.5,2
2016-2017,19,CHIEVOVERONA,ATALANTA,08/01/2017,STADIUM MARC'ANTONIO BENTEGODI,15:00,FEDERICO  LA PENNA,MARCO  BARBIRATI,STEFANO  LIBERTI,FABIANO  PRETI,CLAUDIO  GAVILLUCCI,MARCO PICCININI,1,4,A,ROLANDO MARAN,GIAN PIERO GASPERINI,4-3-1-2,3-4-1-2,92'01,55'13,60%,23'57 (43%),15'27 (65%),8'30 (35%),31'16 (57%),14'49 (47%),16'27 (53%),5'04,2'23,3'44,3'05,3'00,6'41,4'25,6'18,5'18,4'23,5'45,5'07,5,13,2(1),9(4),0,0,0,0,2,8,0,0,0,0,0,0,0,4,2,11,1,6,6,2,4,3,18,14,42,38,48,39,0,0,17,11,3,1,34,25,11,18,1,3,0 (0),0 (0),106.693,26.81,71.666,8.217,108.421,26.074,73.54,8.807,6.8,7.1,5 (38%),5 (39%),3 (23%),8 (31%),15 (57%),3 (12%),0/1,0/0,1/4,1/3,0/0,0/0,1/2,0/0,1/3,0/0,0/0,0/0,11,11,10,13,1,2,10,10,11,6,2,0,SERGIO PELLISSIER,31,ALEJANDRO GOMEZ,10,2.75,3.2,2.7
2016-2017,19,GENOA,ROMA,08/01/2017,STADIUM LUIGI FERRARIS,15:00,NICOLA  RIZZOLI,MATTEO  PASSERI,ALBERTO  TEGONI,GIANMATTIA  TASSO,GIANLUCA  ROCCHI,DOMENICO CELI,0,1,A,IVAN JURIC,LUCIANO SPALLETTI,3-4-3,3-4-2-1,96'02,51'32,54%,26'06 (51%),14'17 (55%),11'49 (45%),25'26 (49%),11'20 (45%),14'06 (55%),3'47,4'00,4'40,3'45,4'05,5'49,3'24,3'59,5'41,4'18,3'56,4'08,7,10,4(0),5(0),1,0,0,0,2,4,0,0,0,1,1,0,3,4,7,11,0,4,5,0,2,8,10,14,39,29,36,28,8,9,17,21,13,9,39,39,15,16,0,2,0 (0),0 (0),101.571,28.279,64.437,8.855,99.978,28.542,63.339,8.097,6.5,6.5,5 (20%),13 (52%),7 (28%),6 (17%),21 (60%),8 (23%),1/1,0/1,0/3,2/4,1/6,1/1,0/0,0/1,1/3,1/4,2/4,0/2,9,12,3,12,0,0,5,7,9,4,2,1,LUCAS OCAMPOS,11,RADJA NAINGGOLAN,4,3.8,3.6,1.95
2016-2017,19,LAZIO,CROTONE,08/01/2017,STADIUM OLIMPICO,15:00,FABIO  MARESCA,ELENITO  DI LIBERATORE,MARCO  ZAPPATORE,MAURO  TONOLINI,MARCO  GUIDA,DAVIDE GHERSINI,1,0,H,SIMONE INZAGHI,DAVIDE NICOLA,4-3-3,4-3-3,96'34,51'34,53%,34'30 (67%),18'24 (53%),16'06 (47%),17'04 (33%),11'39 (68%),5'25 (32%),6'04,5'55,6'41,5'12,5'01,5'36,2'42,3'03,2'27,1'54,3'02,3'56,16,1,7(1),1(0),1,0,0,0,6,1,0,0,3,0,0,0,1,5,11,1,2,1,3,1,14,0,13,12,23,17,18,14,3,1,11,32,0,0,23,16,19,4,0,3,1 (0),0 (0),108.866,25.298,75.089,8.479,111.009,24.227,78.323,8.459,7.1,7.2,7 (20%),18 (51%),10 (29%),2 (29%),2 (28%),3 (43%),1/2,5/7,1/4,1/2,2/2,1/1,0/1,5/7,0/0,0/1,1/1,0/0,4,2,7,2,3,0,5,3,3,3,0,0,CIRO IMMOBILE,17,DIEGO FALCINELLI,11,1.29,5.25,12
2016-2017,19,SASSUOLO,TORINO,08/01/2017,STADIUM MAPEI STADIUM,15:00,MASSIMILIANO  IRRATI,GIACOMO  PAGANESSI,DAMIANO  DI IORIO,ALESSIO  TOLFO,ANTONIO  DAMATO,ANTONIO DI MARTINO,0,0,D,EUSEBIO DI FRANCESCO,SINISA MIHAJLOVIC,4-3-3,4-3-3,95'23,53'42,56%,21'30 (40%),12'05 (56%),9'25 (44%),32'12 (60%),15'02 (47%),17'10 (53%),4'43,4'50,3'27,4'19,2'19,1'52,5'50,5'25,4'49,6'04,5'22,4'42,6,15,2(0),1(0),0,0,0,0,1,0,0,0,0,0,0,1,1,2,2,6,3,7,2,2,1,8,16,17,26,36,29,31,0,0,23,15,1,1,27,25,13,19,1,0,0 (0),0 (0),111.678,26.219,76.612,8.847,108.985,27.699,73.285,8.001,6.8,6.7,5 (42%),3 (25%),4 (33%),7 (27%),9 (35%),10 (38%),1/2,1/2,1/6,2/4,0/0,0/0,2/2,1/2,2/4,2/5,0/0,0/0,7,10,3,5,2,2,7,5,9,9,0,1,ANTONINO RAGUSA,90,IAGO FALQUE,14,2.7,3.4,2.6
2016-2017,19,MILAN,CAGLIARI,08/01/2017,STADIUM GIUSEPPE MEAZZA,18:00,PIERO  GIACOMELLI,ALFONSO  MARRAZZO,MAURO  VIVENZI,SERGIO  RANGHETTI,GIANPAOLO  CALVARESE,GIANLUCA MANGANIELLO,1,0,H,VINCENZO MONTELLA,MASSIMO RASTELLI,4-3-3,4-3-1-2,97'36,49'36,51%,29'30 (59%),6'51 (23%),22'39 (77%),20'06 (41%),12'13 (61%),7'53 (39%),5'01,4'11,4'53,6'56,3'05,5'24,3'07,2'30,5'06,2'49,3'49,2'45,21,6,8(1),3(0),0,0,1,0,4,2,0,0,0,0,2,0,1,4,8,3,2,4,4,3,11,3,6,11,33,46,35,25,8,7,12,30,1,0,42,39,35,10,0,0,0 (0),0 (0),106.629,27.842,71.537,7.25,111.115,26.704,76.786,7.625,6.7,7,17 (26%),21 (32%),28 (42%),5 (24%),6 (28%),10 (48%),3/5,3/7,4/6,4/12,2/3,0/2,0/0,3/7,1/2,2/7,0/3,1/1,3,7,12,10,1,2,9,5,7,4,0,0,CARLOS BACCA,70,DAVIDE DI GENNARO,8,1.4,4.75,8
2016-2017,19,JUVENTUS,BOLOGNA,08/01/2017,STADIUM JUVENTUS STADIUM,20:45,MAURIZIO  MARIANI,GIANLUCA  CARIOLATO,FILIPPO  VALERIANI,VALENTINO  FIORITO,DAVIDE  MASSA,ROSARIO ABISSO,3,0,H,MASSIMILIANO ALLEGRI,ROBERTO DONADONI,4-4-2,4-3-3,93'43,55'09,59%,31'02 (56%),19'19 (62%),11'43 (38%),24'07 (44%),12'39 (52%),11'28 (48%),5'37,4'16,5'47,4'56,1'36,8'50,1'36,4'09,4'05,4'38,5'31,4'07,11,5,4(3),3(0),1,0,0,0,3,3,0,0,2,0,0,0,3,1,8,2,2,0,2,2,6,2,11,13,35,36,30,30,7,3,5,11,3,7,31,23,34,17,3,2,1 (1),0 (0),111.67,28.049,74.625,8.996,108.854,28.354,71.955,8.545,6.8,6.7,6 (29%),6 (28%),9 (43%),4 (33%),6 (50%),2 (17%),0/0,6/7,0/4,1/2,2/2,1/1,0/0,6/7,1/3,1/4,1/1,0/0,1,10,10,7,2,0,3,3,11,11,2,0,GONZALO HIGUAIN,9,FEDERICO DI FRANCESCO,14,1.18,7,17
2016-2017,19,PESCARA,FIORENTINA,01/02/2017,STADIUM ADRIATICO - GIOVANNI CORNACCHIA,20:45,CARMINE  RUSSO,RICCARDO  DI FIORE,GIORGIO  SCHENONE,ALESSANDRO  GIALLATINI,PAOLO SILVIO  MAZZOLENI,JUAN LUCA SACCHI,1,2,A,MASSIMO ODDO,PAULO SOUSA,4-3-2-1,3-4-2-1,96'50,59'15,61%,12'54 (22%),6'33 (51%),6'21 (49%),46'21 (78%),12'04 (26%),34'17 (74%),2'39,2'42,2'26,0'42,2'21,2'04,7'25,6'25,7'18,7'45,6'12,11'16,3,17,3(1),7(2),0,1,0,0,2,2,0,0,0,0,0,0,3,2,2,8,1,0,1,2,1,14,11,12,23,18,20,22,5,1,24,2,0,0,12,10,9,39,0,0,0 (0),0 (0),109.359,23.881,77.917,7.561,103.971,25.942,70.163,7.866,7.2,7,8 (73%),3 (27%),0 (0%),11 (23%),18 (37%),19 (40%),1/1,0/0,2/3,0/0,0/0,0/0,2/2,0/0,2/4,3/3,0/0,0/0,7,5,5,3,0,0,6,3,8,2,2,1,GIANLUCA CAPRARI,17,CRISTIAN TELLO,16,4.5,3.6,1.83
2016-2017,20,CROTONE,BOLOGNA,14/01/2017,STADIUM EZIO SCIDA,18:00,GIANPAOLO  CALVARESE,VALENTINO  FIORITO,RODOLFO  DI VUOLO,MAURO  VIVENZI,GIANLUCA  MANGANIELLO,MARCO SERRA,0,1,A,DAVIDE NICOLA,ROBERTO DONADONI,4-4-2,4-3-3,98'06,48'55,50%,23'31 (48%),11'20 (48%),12'11 (52%),25'24 (52%),18'27 (73%),6'57 (27%),3'45,3'26,4'58,3'02,3'24,4'55,4'15,3'53,4'00,6'36,3'13,3'27,11,11,4(0),7(1),0,0,0,1,3,3,0,0,2,0,1,1,6,4,5,5,5,3,3,2,6,5,13,13,28,24,18,18,1,3,21,15,1,3,21,22,15,15,0,0,0 (0),0 (0),108.375,27.503,72.345,8.527,110.148,29.194,71.899,9.055,6.5,6.6,9 (47%),5 (27%),5 (26%),4 (29%),7 (50%),3 (21%),1/3,1/1,3/5,2/3,1/1,1/1,0/0,1/1,0/0,1/2,0/0,0/0,7,3,4,3,0,1,4,9,0,4,1,0,DIEGO FALCINELLI,11,BLERIM DZEMAILI,31,3,3,2.6
2016-2017,20,INTER,CHIEVOVERONA,14/01/2017,STADIUM GIUSEPPE MEAZZA,20:45,PIERO  GIACOMELLI,CLAUDIO  LA ROCCA,GIANMATTIA  TASSO,GIORGIO  SCHENONE,MAURIZIO  MARIANI,LUIGI NASCA,3,1,H,STEFANO PIOLI,ROLANDO MARAN,4-2-3-1,4-3-1-2,94'31,48'12,51%,31'00 (64%),9'45 (31%),21'15 (69%),17'12 (36%),11'21 (66%),5'51 (34%),6'04,4'43,4'57,5'50,4'06,5'20,2'52,2'36,2'18,3'52,2'10,3'24,23,4,14(3),4(1),1,0,2,2,7,3,0,0,1,0,0,0,3,11,23,4,4,1,0,2,12,2,12,14,23,28,33,24,9,5,15,27,13,7,51,43,28,10,0,2,0 (0),0 (0),110.015,27.471,73.086,9.458,106.485,27.666,71.283,7.536,6.9,6.7,22 (35%),27 (44%),13 (21%),1 (7%),5 (36%),8 (57%),3/7,2/6,2/14,1/8,1/4,3/5,0/0,2/6,0/0,1/7,0/0,1/1,4,6,7,13,1,2,7,7,7,2,0,1,IVAN PERISIC,44,SERGIO PELLISSIER,31,1.44,4.33,8
2016-2017,20,CAGLIARI,GENOA,15/01/2017,STADIUM SANT'ELIA,12:30,MICHAEL  FABBRI,MAURO  TONOLINI,LUCA  MONDIN,FILIPPO  VALERIANI,FABIO  MARESCA,NICCOLO' BARONI,4,1,H,MASSIMO RASTELLI,IVAN JURIC,4-3-1-2,3-4-2-1,94'01,48'50,52%,24'07 (49%),15'24 (64%),8'43 (36%),24'43 (51%),13'14 (54%),11'29 (46%),3'35,4'17,3'26,4'22,3'28,4'59,4'06,5'14,4'24,3'18,3'04,4'37,16,10,13(4),5(1),1,1,0,0,9,4,0,0,1,1,0,0,4,8,13,8,4,2,1,0,3,14,7,11,27,32,25,27,6,3,18,12,0,0,11,22,14,22,0,0,1 (1),0 (0),107.923,25.902,73.549,8.472,105.651,27.53,69.124,8.997,6.9,6.7,2 (10%),13 (65%),5 (25%),10 (36%),6 (21%),12 (43%),0/0,3/3,1/1,1/2,0/0,0/1,0/1,3/3,1/3,3/5,4/4,1/2,7,7,6,4,0,1,2,8,7,8,0,2,MARCO BORRIELLO,22,GIOVANNI SIMEONE,9,2.8,3.4,2.5
2016-2017,20,LAZIO,ATALANTA,15/01/2017,STADIUM OLIMPICO,15:00,LUCA  PAIRETTO,CIRO  CARBONE,GIORGIO  PERETTI,GIANLUCA  VUOTO,GIANLUCA  ROCCHI,EUGENIO ABBATTISTA,2,1,H,SIMONE INZAGHI,GIAN PIERO GASPERINI,3-4-2-1,3-4-3,97'07,60'11,62%,32'04 (53%),15'22 (48%),16'42 (52%),28'07 (47%),17'34 (62%),10'33 (38%),5'44,4'13,6'37,4'29,5'32,5'29,4'37,4'39,4'27,5'05,4'20,4'59,14,6,5(2),3(1),1,0,0,0,4,3,0,0,3,0,0,0,2,3,14,6,7,3,0,1,6,3,15,18,27,49,39,46,10,9,31,29,11,19,37,35,21,16,3,3,1 (1),0 (0),113.193,26.709,77.14,9.344,113.281,26.798,77.378,9.105,7.1,7.1,5 (16%),22 (68%),5 (16%),3 (17%),13 (72%),2 (11%),1/1,1/2,1/4,0/4,1/4,1/4,0/0,1/2,1/4,0/1,0/1,1/2,10,3,13,12,0,1,8,10,14,14,0,0,CIRO IMMOBILE,17,REMO FREULER,11,2,3.4,3.9
