Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,VAR_official,AVAR_official,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Pt_1st_hf,Pt_2nd_hf,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_sp_T1,Atp_on_sp_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_pb_T1,Atp_on_pb_T2,Post_T1,Post_T2,Atp_off_T1,Atp_off_T2,Svs_T1,Svs_T2,Blck_shts_T1,Blck_shts_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Drbbl_T1,Drbbl_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,Pss_Cmpl_T1,Pss_Cmpl_T2,Pss_Cmpl_Perc_T1,Pss_Cmpl_Perc_T2,Pss_Fnl_Thr_T1,Pss_Fnl_Thr_T2,Frwd_Pss_T1,Frwd_Pss_T2,Crs_Suc_Atp_T1,Crs_Suc_Atp_T2,Lng_Pss_T1,Lng_Pss_T2,Key_Pss_T1,Key_Pss_T2,Rcv_Bls_T1,Rcv_Bls_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Blls_Plyd_T1,Blls_Plyd_Def_T1,Blls_Plyd_Mid_T1,Blls_Plyd_Atk_T1,Blls_Plyd_T2,Blls_Plyd_Def_T2,Blls_Plyd_Mid_T2,Blls_Plyd_Atk_T2,Tch_Def_Top_Left_T1,Tch_Def_Top_Ctr_Left_T1,Tch_Def_Top_Ctr_Right_T1,Tch_Def_Top_Right_T1,Tch_Def_Btm_Left_T1,Tch_Def_Btm_Ctr_Left_T1,Tch_Def_Btm_Ctr_Right_T1,Tch_Def_Btm_Right_T1,Tch_Mid_Top_Left_T1,Tch_Mid_Top_Ctr_Left_T1,Tch_Mid_Top_Ctr_Right_T1,Tch_Mid_Top_Right_T1,Tch_Mid_Btm_Left_T1,Tch_Mid_Btm_Ctr_Left_T1,Tch_Mid_Btm_Ctr_Right_T1,Tch_Mid_Btm_Right_T1,Tch_Atk_Top_Left_T1,Tch_Atk_Top_Ctr_Left_T1,Tch_Atk_Top_Ctr_Right_T1,Tch_Atk_Top_Right_T1,Tch_Atk_Btm_Left_T1,Tch_Atk_Btm_Ctr_Left_T1,Tch_Atk_Btm_Ctr_Right_T1,Tch_Atk_Btm_Right_T1,Tch_Def_Top_Left_T2,Tch_Def_Top_Ctr_Left_T2,Tch_Def_Top_Ctr_Right_T2,Tch_Def_Top_Right_T2,Tch_Def_Btm_Left_T2,Tch_Def_Btm_Ctr_Left_T2,Tch_Def_Btm_Ctr_Right_T2,Tch_Def_Btm_Right_T2,Tch_Mid_Top_Left_T2,Tch_Mid_Top_Ctr_Left_T2,Tch_Mid_Top_Ctr_Right_T2,Tch_Mid_Top_Right_T2,Tch_Mid_Btm_Left_T2,Tch_Mid_Btm_Ctr_Left_T2,Tch_Mid_Btm_Ctr_Right_T2,Tch_Mid_Btm_Right_T2,Tch_Atk_Top_Left_T2,Tch_Atk_Top_Ctr_Left_T2,Tch_Atk_Top_Ctr_Right_T2,Tch_Atk_Top_Right_T2,Tch_Atk_Btm_Left_T2,Tch_Atk_Btm_Ctr_Left_T2,Tch_Atk_Btm_Ctr_Right_T2,Tch_Atk_Btm_Right_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2021-2022,13,BOLOGNA,VENEZIA,21/11/2021,RENATO DALL'ARA STADIUM,15:00,DANIELE  CHIFFI,STEFANO  LIBERTI,GIOVANNI  BACCINI,FRANCESCO  MERAVIGLIA,DAVIDE  GHERSINI,PASQUALE DE MEO,0,1,A,SINISA MIHAJLOVIC,PAOLO ZANETTI,3-4-2-1,4-3-3,95'04,62'48,32'24,30'24,66%,41'26 (66%),17'10 (41%),24'16 (59%),21'22 (34%),16'41 (78%),4'41 (22%),5'56,7'02,6'34,6'51,4'48,10'15,4'27,4'27,3'58,2'58,3'02,2'30,22,8,6(0),6(1),2,0,0,0,1,4,0,0,9,2,5,6,7,0,14,8,0,0,1,1,17,8,17,0,6,9,561,266,88%,80%,159,42,328,100,4/19,2/4,41,30,14,7,60,58,0 (0),0 (0),104.576,26.89,70.204,7.482,106.418,25.095,74.064,7.259,6.5,6.7,12 (36%),8 (25%),13 (39%),5 (29%),4 (24%),8 (47%),912,174,427,311,605,333,184,88,8,29,19,3,23,31,40,21,39,55,65,24,57,55,77,55,44,60,56,53,25,29,22,22,13,64,75,12,51,50,41,27,14,28,37,23,15,18,27,22,21,16,18,11,8,4,6,4,MATTIAS SVANBERG,32,DAVID OKEREKE,77,1.61,4,5.5
2021-2022,13,SALERNITANA,SAMPDORIA,21/11/2021,ARECHI STADIUM,15:00,PIERO  GIACOMELLI,MATTIA  SCARPA,DANIELE  MARCHI,FRANCESCO  COSSO,SIMONE  SOZZA,MATTEO BOTTEGONI,0,2,A,STEFANO COLANTUONO,ROBERTO D'AVERSA,4-3-1-2,4-4-2,95'54,45'51,25'17,20'34,48%,24'45 (54%),12'19 (50%),12'26 (50%),21'06 (46%),11'10 (53%),9'56 (47%),3'49,5'42,4'03,3'15,2'06,5'50,3'47,2'37,5'19,2'19,4'04,3'00,18,13,2(0),6(1),2,0,0,0,1,5,0,0,9,4,5,2,7,3,13,10,0,1,0,1,4,2,13,3,10,19,322,274,78%,75%,71,76,193,139,8/21,4/12,28,27,13,9,57,61,0 (0),0 (0),105.075,28.521,67.911,8.643,105.196,29.1,67.761,8.335,6.5,6.4,6 (19%),13 (42%),12 (39%),5 (22%),9 (39%),9 (39%),686,149,351,186,633,271,241,121,5,20,28,5,6,33,34,18,28,45,56,37,32,45,65,43,26,26,34,24,16,17,18,25,10,51,51,11,21,55,43,29,25,59,30,20,33,22,19,33,28,13,21,16,12,11,7,13,MILAN DJURIC,11,ANTONIO CANDREVA,87,3.1,3.25,2.37
2021-2022,13,INTER,NAPOLI,21/11/2021,GIUSEPPE MEAZZA STADIUM,18:00,PAOLO  VALERI,ALESSANDRO  GIALLATINI,FABIANO  PRETI,MATTEO  MARCHETTI,GIANLUCA  AURELIANO,SALVATORE LONGO,3,2,H,SIMONE INZAGHI,LUCIANO SPALLETTI,3-5-2,4-3-3,99'01,46'32,19'53,26'39,47%,20'55 (45%),11'21 (54%),9'34 (46%),25'37 (55%),12'11 (48%),13'26 (52%),4'09,3'53,2'56,3'49,5'35,0'33,2'43,2'02,4'10,4'32,4'05,8'05,17,9,7(3),3(2),1,0,1,0,5,1,0,1,5,4,1,4,5,2,11,8,2,1,2,0,13,10,4,1,15,16,301,397,84%,86%,71,104,123,224,3/9,5/7,29,29,9,6,57,47,1 (1),0 (0),109.697,28.229,70.662,10.806,106.234,28.621,66.638,10.975,6.5,6.3,17 (49%),8 (22%),10 (29%),6 (21%),9 (33%),13 (46%),610,242,221,147,700,219,298,183,12,48,33,11,23,31,50,34,21,24,30,32,21,29,38,26,13,22,22,26,15,13,15,21,23,44,34,9,25,41,20,23,23,44,46,25,41,37,51,31,33,50,35,13,23,17,6,6,LAUTARO MARTINEZ,10,DRIES MERTENS,14,2.2,3.5,3.25
2021-2022,13,GENOA,ROMA,21/11/2021,LUIGI FERRARIS STADIUM,20:45,MASSIMILIANO  IRRATI,ALBERTO  TEGONI,VITTORIO  DI GIOIA,GIANLUCA  MANGANIELLO,LUCA  PAIRETTO,STEFANO ALASSIO,0,2,A,ANDRIY SHEVCHENKO,JOSE' MOURINHO,3-5-2,3-4-1-2,95'02,53'37,27'06,26'31,56%,21'58 (41%),14'37 (67%),7'21 (33%),31'39 (59%),17'45 (56%),13'54 (44%),3'28,3'31,4'00,2'44,4'17,3'58,5'57,6'12,3'58,6'09,3'32,5'51,1,19,1(0),4(2),0,0,0,0,1,3,0,0,0,8,2,1,0,7,1,14,0,1,2,0,5,11,2,7,13,13,324,490,84%,88%,41,95,132,222,4/8,9/17,37,41,1,13,54,56,0 (0),0 (0),111.591,25.99,77.859,7.742,106.569,27.53,70.546,8.493,6.9,6.7,7 (47%),2 (13%),6 (40%),10 (30%),12 (37%),11 (33%),608,273,265,70,788,167,432,189,8,47,60,17,17,47,51,26,27,24,39,34,42,27,38,34,9,12,15,14,6,3,8,3,3,16,26,10,10,49,30,23,44,78,89,56,45,39,37,44,28,33,35,26,26,18,15,8,STEFANO STURARO,27,FELIX AFENA-GYAN,64,4.75,3.9,1.7
2021-2022,13,HELLAS VERONA,EMPOLI,22/11/2021,MARCANTONIO BENTEGODI STADIUM,18:30,MATTEO  GARIGLIO,GIACOMO  PAGANESSI,ALESSIO  SACCENTI,ANDREA  COLOMBO,PAOLO SILVIO  MAZZOLENI,LUCA MONDIN,2,1,H,IGOR TUDOR,AURELIO ANDREAZZOLI,3-4-2-1,4-3-1-2,98'11,48'17,21'29,26'48,49%,27'30 (57%),12'11 (44%),15'19 (56%),20'47 (43%),15'24 (74%),5'23 (26%),4'19,3'26,4'28,3'01,3'48,8'28,3'54,3'01,2'21,3'58,3'24,4'09,22,9,5(2),4(1),0,1,0,0,2,3,0,1,10,3,3,3,7,2,19,7,2,0,3,2,11,2,1,3,7,13,356,240,78%,68%,112,47,239,113,8/27,4/7,32,22,17,6,74,70,0 (0),0 (0),113.813,28.723,74.778,10.312,112.972,28.099,74.405,10.468,6.9,6.8,20 (34%),10 (17%),29 (49%),12 (31%),19 (48%),8 (21%),767,194,372,201,630,233,287,110,14,28,31,9,26,28,36,22,42,40,51,46,43,38,58,54,32,31,34,30,33,19,16,6,6,41,55,11,19,37,38,26,42,43,30,20,26,42,44,40,9,24,18,17,14,10,7,11,ANTONIN BARAK,7,SIMONE ROMAGNOLI,6,1.7,4,4.5
2021-2022,13,TORINO,UDINESE,22/11/2021,OLIMPICO GRANDE TORINO STADIUM,20:45,IVANO  PEZZUTO,FABRIZIO  LOMBARDO,PASQUALE  CAPALDO,ANTONIO  RAPUANO,FRANCESCO  FOURNEAU,MAURO GALETTO,2,1,H,IVAN JURIC,LUCA GOTTI,3-4-2-1,3-4-2-1,94'59,49'08,24'18,24'50,52%,25'02 (51%),13'34 (54%),11'28 (46%),24'06 (49%),11'24 (47%),12'42 (53%),3'18,4'36,5'34,4'28,3'20,3'46,3'28,3'26,3'56,3'27,3'39,6'10,14,18,4(2),7(1),3,0,0,1,3,4,1,0,5,4,6,1,5,7,11,14,1,0,4,1,12,13,4,7,19,17,340,314,77%,75%,76,75,159,173,7/10,1/3,27,24,9,14,75,59,0 (0),0 (0),108.117,28.684,69.54,9.893,107.126,29.03,68.081,10.015,6.7,6.6,5 (19%),12 (46%),9 (35%),1 (5%),18 (81%),3 (14%),759,271,330,158,709,233,322,154,14,37,26,11,29,71,55,28,30,56,68,47,28,47,26,28,27,29,19,22,29,13,12,7,5,41,28,14,24,51,43,27,26,33,55,25,36,53,59,35,20,29,34,23,12,8,16,12,JOSIP BREKALO,14,FERNANDO FORESTIERI,45,2.05,3.4,3.7
2021-2022,14,CAGLIARI,SALERNITANA,26/11/2021,UNIPOL DOMUS STADIUM,20:45,DANIELE  DOVERI,DOMENICO  ROCCA,MARCO  TRINCHIERI,MATTEO  MARCENARO,MICHAEL  FABBRI,GIORGIO PERETTI,1,1,D,WALTER MAZZARRI,STEFANO COLANTUONO,3-5-2,4-3-3,101'45,43'50,20'12,23'38,43%,24'58 (57%),12'15 (49%),12'43 (51%),18'52 (43%),9'12 (49%),9'40 (51%),3'32,5'21,3'24,5'45,3'14,3'42,2'35,2'30,2'50,2'37,2'27,5'53,19,8,3(1),2(1),1,1,0,0,3,1,0,0,10,3,1,2,6,3,15,5,1,1,2,0,6,9,7,6,13,10,367,245,82%,72%,100,50,206,153,5/21,5/10,27,31,14,4,56,44,0 (0),0 (0),105.092,27.841,68.318,8.833,99.495,24.174,67.023,8.298,6.4,6.6,19 (38%),16 (32%),15 (30%),16 (41%),11 (28%),12 (31%),713,189,333,191,583,191,264,128,7,33,24,16,20,34,38,17,26,73,51,23,22,45,59,34,24,23,47,36,18,17,12,14,15,44,39,6,16,24,27,20,25,45,30,18,36,47,28,35,22,22,18,21,9,10,10,16,LEONARDO PAVOLETTI,30,FEDERICO BONAZZOLI,9,1.83,3.6,4.33
2021-2022,14,EMPOLI,FIORENTINA,27/11/2021,CARLO CASTELLANI STADIUM,15:00,JUAN LUCA  SACCHI,DAMIANO  MARGANI,SALVATORE  AFFATATO,GIANPIERO  MIELE,PAOLO SILVIO  MAZZOLENI,MARCO DI BELLO,2,1,H,AURELIO ANDREAZZOLI,VINCENZO ITALIANO,4-3-1-2,4-3-3,98'25,57'28,30'54,26'34,58%,29'52 (52%),20'37 (69%),9'15 (31%),27'36 (48%),18'52 (68%),8'44 (32%),5'11,4'23,5'29,7'23,3'32,3'54,5'41,4'26,5'44,3'37,4'46,3'22,17,16,5(2),7(1),2,3,0,0,4,5,0,0,4,7,6,3,8,2,13,14,0,1,0,3,8,12,8,5,15,10,336,341,79%,83%,51,99,110,180,3/9,3/15,26,32,12,13,60,68,0 (0),0 (0),112.47,24.634,75.436,12.4,110.685,25.916,72.896,11.873,7.2,7.1,12 (38%),6 (18%),14 (44%),10 (31%),9 (28%),13 (41%),686,308,248,130,694,252,252,190,18,77,53,12,27,52,57,12,40,32,39,33,36,32,22,14,20,12,18,24,17,12,15,12,8,39,45,13,45,28,34,40,24,37,34,36,28,39,24,30,35,41,23,26,15,15,22,13,ANDREA PINAMONTI,99,DUSAN VLAHOVIC,9,3.4,3.4,2.15
2021-2022,14,SAMPDORIA,HELLAS VERONA,27/11/2021,LUIGI FERRARIS STADIUM,15:00,LORENZO  MAGGIONI,PASQUALE  DE MEO,MICHELE  GROSSI,MARCO  PICCININI,LUCA  BANTI,GIOVANNI BACCINI,3,1,H,ROBERTO D'AVERSA,IGOR TUDOR,4-4-2,3-4-2-1,97'18,44'16,23'05,21'11,45%,18'08 (41%),8'13 (45%),9'55 (55%),26'08 (59%),14'51 (57%),11'17 (43%),3'40,2'51,2'20,3'09,2'59,3'09,5'18,5'00,3'56,4'35,3'36,3'43,15,14,5(3),3(1),1,0,0,0,4,1,0,0,5,7,2,2,5,4,11,8,2,0,1,1,8,13,4,5,13,16,218,387,70%,82%,75,87,139,166,10/24,5/10,27,26,9,8,67,68,0 (0),0 (0),98.712,27.361,63.094,8.257,105.335,27.947,68.762,8.626,6.4,6.5,9 (23%),20 (49%),11 (28%),10 (29%),10 (28%),15 (43%),587,208,198,181,745,278,306,161,8,42,28,18,23,37,31,21,28,23,18,19,18,36,32,24,29,33,35,28,13,22,11,10,6,32,49,7,40,50,65,29,50,51,48,27,43,37,24,26,26,18,29,29,20,8,20,11,ANTONIO CANDREVA,87,ADRIEN TAMEZE,61,2.9,3.5,2.37
2021-2022,14,JUVENTUS,ATALANTA,27/11/2021,ALLIANZ STADIUM STADIUM,18:00,GIOVANNI  AYROLDI,EMANUELE  PRENNA,DAVIDE  IMPERIALE,MATTEO  MARCHETTI,MARCO  DI BELLO,ALBERTO TEGONI,0,1,A,MASSIMILIANO ALLEGRI,GIAN PIERO GASPERINI,4-4-2,3-4-2-1,96'11,49'03,26'48,22'15,51%,28'55 (59%),17'28 (60%),11'27 (40%),20'08 (41%),8'32 (42%),11'36 (58%),4'48,5'40,3'45,5'40,3'55,5'07,4'44,4'17,3'34,3'06,1'19,3'08,15,7,2(0),1(1),0,0,0,0,1,1,1,0,7,1,0,2,6,5,13,4,0,1,1,0,10,10,6,4,13,20,449,281,84%,76%,66,91,166,191,2/7,2/8,33,18,13,3,61,54,0 (0),0 (0),106.92,30.007,67.73,9.183,109.81,30.024,70.427,9.359,6.4,6.6,8 (30%),5 (18%),14 (52%),14 (52%),5 (18%),8 (30%),806,283,385,138,634,142,316,176,12,50,26,11,29,69,51,35,47,80,66,46,32,27,47,40,20,29,19,18,7,17,18,10,4,37,31,9,10,15,19,17,29,32,25,35,43,44,43,65,44,19,37,35,5,6,5,25,PAULO DYBALA,10,DUVAN ZAPATA,91,2.2,3.5,3.25
2021-2022,14,VENEZIA,INTER,27/11/2021,PIER LUIGI PENZO STADIUM,20:45,LIVIO  MARINELLI,RODOLFO  DI VUOLO,MAURO  GALETTO,DANIELE  MINELLI,MASSIMILIANO  IRRATI,CIRO CARBONE,0,2,A,PAOLO ZANETTI,SIMONE INZAGHI,4-3-2-1,3-5-2,97'00,53'42,26'51,26'51,55%,23'37 (44%),17'06 (72%),6'31 (28%),30'05 (56%),17'42 (59%),12'23 (41%),4'49,3'53,3'41,4'55,2'34,3'45,6'41,3'51,3'56,5'24,4'35,5'38,6,27,1(0),11(2),0,0,0,1,0,7,0,0,3,6,9,1,2,10,6,20,0,0,0,0,11,6,3,9,9,4,374,502,85%,90%,60,152,137,264,3/14,6/15,24,37,6,20,56,62,0 (0),1 (1),115.1,23.901,78.916,12.283,118.642,24.192,80.809,13.641,7.4,7.5,2 (12%),5 (29%),10 (59%),7 (19%),24 (67%),5 (14%),699,318,267,114,831,230,333,268,17,71,57,21,35,44,53,20,32,48,36,25,30,30,38,28,34,13,18,26,12,2,2,7,4,22,54,3,26,36,57,28,13,55,74,39,32,36,48,36,40,40,68,36,19,17,29,19,MATTIA ARAMU,10,EDIN DZEKO,9,8,5,1.36
2021-2022,14,UDINESE,GENOA,28/11/2021,DACIA ARENA - STADIO FRIULI STADIUM,12:30,FRANCESCO  MERAVIGLIA,MARCO  SCATRAGLI,ORESTE  MUTO,DANIELE  MINELLI,PAOLO SILVIO  MAZZOLENI,CIRO CARBONE,0,0,D,LUCA GOTTI,ANDRIY SHEVCHENKO,3-4-2-1,3-5-2,98'04,51'35,25'31,26'04,53%,22'10 (43%),9'07 (41%),13'03 (59%),29'25 (57%),18'59 (65%),10'26 (35%),2'59,3'35,3'08,3'05,4'07,5'16,4'57,5'34,5'18,4'31,4'46,4'19,17,8,3(0),2(0),2,0,0,0,1,0,1,0,6,4,2,3,8,2,12,4,0,0,3,0,8,14,8,1,18,11,285,415,78%,82%,94,45,164,135,0/0,2/7,20,38,12,4,64,59,0 (0),0 (0),106.514,29.566,67.918,9.03,111.838,27.239,75.977,8.622,6.5,6.7,14 (40%),10 (29%),11 (31%),6 (30%),4 (20%),10 (50%),666,162,296,208,800,317,396,87,0,32,21,7,26,23,37,16,27,32,44,39,27,41,51,35,28,22,51,38,17,13,24,15,10,61,40,17,32,66,60,31,45,77,96,40,27,40,38,33,11,23,17,16,7,6,6,1,BETO,9,NICOLO' ROVELLA,65,1.75,3.6,4.75
2021-2022,14,MILAN,SASSUOLO,28/11/2021,GIUSEPPE MEAZZA STADIUM,15:00,GIANLUCA  MANGANIELLO,FRANCESCO  FIORE,EDOARDO  RASPOLLINI,GIANPIERO  MIELE,DAVIDE  GHERSINI,GIACOMO PAGANESSI,1,3,A,STEFANO PIOLI,ALESSIO DIONISI,4-2-3-1,4-3-3,94'57,43'09,21'37,21'32,45%,21'34 (50%),9'59 (46%),11'35 (54%),21'35 (50%),10'47 (50%),10'48 (50%),4'26,4'12,2'35,3'54,2'36,3'51,4'41,1'55,3'48,4'07,2'25,4'39,15,15,2(1),5(2),1,1,0,1,2,3,0,0,8,3,3,1,5,7,12,11,1,1,7,3,11,15,7,6,15,7,334,348,83%,83%,93,81,188,172,6/15,3/8,25,27,11,9,55,52,0 (0),0 (0),101.198,27.905,63.415,9.878,102.742,29.51,64.018,9.214,6.3,6.3,18 (47%),11 (29%),9 (24%),7 (24%),6 (21%),16 (55%),675,173,296,206,684,263,275,146,2,22,42,15,18,26,25,23,36,43,45,17,22,31,53,49,17,24,38,42,25,20,26,14,8,47,38,27,30,39,36,38,46,29,34,36,28,30,37,35,28,26,22,17,17,17,12,7,ZLATAN IBRAHIMOVIC,11,GIANLUCA SCAMACCA,91,1.53,4.5,5.5
2021-2022,14,SPEZIA,BOLOGNA,28/11/2021,ALBERTO PICCO STADIUM,15:00,LUCA  MASSIMI,DAMIANO  DI IORIO,PIETRO  DEI GIUDICI,ALBERTO  SANTORO,MARCO  GUIDA,ALESSANDRO LO CICERO,0,1,A,THIAGO  MOTTA,SINISA MIHAJLOVIC,4-3-3,3-4-2-1,95’25,48’10,23’39,24’31,50%,20’42 (43%),10’36 (51%),10’06 (49%),27’28 (57%),16’01 (58%),11’27 (42%),2’22,4’41,3’19,3’02,3’48,3’30,4’50,4’21,4’06,5’02,4’05,5’04,13,17,5(0),5(1),0,0,0,1,2,2,0,3,7,7,4,5,1,5,12,12,0,0,3,0,11,9,3,6,16,12,295,426,78%,85%,79,116,164,209,9/12,3/9,28,34,12,12,62,56,0 (0),1 (1),106.311,24.066,72.938,9.307,105.393,24.152,71.975,9.266,7.1,7,13 (38%),12 (36%),9 (26%),8 (23%),14 (40%),13 (37%),629,208,262,159,762,261,316,185,19,42,26,9,35,33,33,11,31,41,40,25,30,30,31,34,34,25,23,29,7,11,13,17,11,43,39,8,26,59,38,37,32,59,40,37,31,32,35,50,26,24,40,46,10,12,14,13,NODATA,NODATA,NODATA,NODATA,3,3.5,2.3
2021-2022,14,ROMA,TORINO,28/11/2021,OLIMPICO STADIUM,18:00,DANIELE  CHIFFI,VITO  MASTRODONATO,ORLANDO  PAGNOTTA,GIACOMO  CAMPLONE,LUCA  BANTI,ALESSIO TOLFO,1,0,H,JOSE' MOURINHO,IVAN JURIC,3-4-1-2,3-4-2-1,101'07,49'55,26'41,23'14,49%,15'27 (31%),11'13 (73%),4'14 (27%),34'28 (69%),17'39 (51%),16'49 (49%),3'33,2'34,2'08,2'07,3'02,2'03,5'47,6'40,5'59,5'38,6'19,4'05,10,17,2(1),3(0),1,0,0,0,2,1,0,0,6,6,3,1,2,8,6,13,1,0,1,3,5,11,2,9,7,11,206,504,75%,85%,36,132,78,289,0/0,6/12,29,17,5,13,52,57,0 (0),0 (0),110.399,28.244,72.02,10.135,109.195,28.769,70.036,10.39,6.5,6.5,6 (27%),10 (46%),6 (27%),11 (37%),9 (30%),10 (33%),539,249,204,86,854,168,431,255,13,58,38,16,36,28,24,36,30,43,34,24,29,10,22,12,19,8,25,13,4,6,8,3,5,24,24,5,14,51,29,16,28,57,58,34,74,75,53,52,51,21,40,57,28,19,17,22,TAMMY ABRAHAM,9,TOMMASO POBEGA,4,1.72,4,4.5
2021-2022,14,NAPOLI,LAZIO,28/11/2021,Diego Armando MARADONA STADIUM,20:45,DANIELE  ORSATO,LUCA  MONDIN,GIORGIO  PERETTI,FRANCESCO  COSSO,ALEANDRO  DI PAOLO,MAURO VIVENZI,4,0,H,LUCIANO SPALLETTI,MAURIZIO SARRI,4-2-3-1,4-3-3,91’03,58’08,28’48,29’20,64%,35’27 (61%),17’36 (50%),17’51 (50%),22’41 (39%),14’25 (64%),8’16 (36%),5’29,6’55,4’14,6’43,4’41,7’25,2’53,4’12,5’05,3’01,3’51,3’39,18,6,8(4),2(0),0,0,0,0,5,1,0,1,1,0,2,4,6,0,15,5,3,0,1,0,11,1,1,3,10,13,744,431,93%,88%,88,73,261,179,1/3,1/6,34,16,12,5,51,49,0 (0),0 (0),104.24,24.883,71.729,7.627,109.748,23.853,77.83,8.064,6.87,7.23,21 (53%),5 (12%),14 (35%),15 (43%),8 (23%),12 (34%),982,325,529,128,657,206,337,114,13,35,35,25,37,75,62,43,51,84,113,65,37,45,72,62,17,20,23,31,12,12,13,0,5,25,32,9,18,42,56,19,30,50,71,35,28,29,51,43,10,20,27,25,6,3,14,9,DRIES MERTENS,14,CIRO IMMOBILE,17,1.8,3.8,4.33
2021-2022,15,ATALANTA,VENEZIA,30/11/2021,GEWISS STADIUM STADIUM,18:30,ALBERTO  SANTORO,ALESSIO  TOLFO,PAOLO  LAUDATO,DANIELE  CHIFFI,LUIGI  NASCA,FRANCESCO FIORE,4,0,H,GIAN PIERO GASPERINI,PAOLO ZANETTI,3-4-2-1,4-3-2-1,90'30,54'58,29'51,25'07,61%,32'25 (59%),15'04 (46%),17'21 (54%),22'33 (41%),15'35 (69%),6'58 (31%),6'49,5'54,5'51,3'59,5'19,4'33,3'34,3'55,3'48,3'34,3'59,3'43,19,8,6(4),4(0),1,0,0,0,5,1,1,0,9,4,4,2,4,0,17,4,4,0,2,3,7,9,4,2,11,9,534,340,87%,81%,160,51,325,135,2/4,1/4,19,33,13,4,73,65,0 (0),0 (0),111.109,25.064,76.511,9.534,112.736,23.446,79.999,9.291,7.2,7.3,12 (36%),9 (28%),12 (36%),5 (26%),5 (27%),9 (47%),853,172,431,250,661,267,299,95,4,26,22,9,18,37,38,18,34,64,61,25,51,70,75,51,30,66,50,31,16,26,14,17,18,42,52,9,28,48,42,28,30,67,48,29,33,37,29,26,23,17,17,19,5,3,8,3,MARIO PASALIC,88,THOMAS HENRY,14,1.22,6,12
2021-2022,15,FIORENTINA,SAMPDORIA,30/11/2021,ARTEMIO FRANCHI STADIUM,18:30,FEDERICO  DIONISI,FABRIZIO  LOMBARDO,FABIO  SCHIRRU,MANUEL  VOLPI,DANIELE  DOVERI,VALERIO COLAROSSI,3,1,H,VINCENZO ITALIANO,ROBERTO D'AVERSA,4-3-3,4-4-2,94'13,52'58,26'34,26'24,56%,31'46 (60%),18'10 (57%),13'36 (43%),21'12 (40%),15'04 (71%),6'08 (29%),5'19,6'35,5'44,4'11,4'01,5'56,2'24,2'06,4'26,3'31,4'11,4'34,17,11,7(3),4(1),3,0,0,0,4,3,0,0,5,6,3,4,5,1,10,10,2,1,2,2,10,2,3,6,6,16,503,282,88%,77%,72,41,188,104,3/11,5/9,53,24,8,9,66,65,0 (0),0 (0),112.388,25.902,75.496,10.99,115.083,25.683,77.537,11.863,7.1,7.2,13 (24%),15 (27%),27 (49%),6 (18%),17 (50%),11 (32%),807,292,371,144,594,264,246,84,5,37,57,10,25,52,71,35,33,48,78,39,35,49,51,38,45,24,19,15,11,12,11,7,8,40,56,12,15,57,50,26,31,37,47,21,34,40,21,15,17,17,16,5,11,11,6,1,DUSAN VLAHOVIC,9,MANOLO GABBIADINI,23,1.7,3.8,5
