Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,VAR_official,AVAR_official,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_sp_T1,Atp_on_sp_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_pb_T1,Atp_on_pb_T2,Post_T1,Post_T2,Atp_off_T1,Atp_off_T2,Svs_T1,Svs_T2,Blck_shts_T1,Blck_shts_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Drbbl_T1,Drbbl_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,Pss_Cmpl_T1,Pss_Cmpl_T2,Pss_Cmpl_Perc_T1,Pss_Cmpl_Perc_T2,Pss_Fnl_Thr_T1,Pss_Fnl_Thr_T2,Frwd_Pss_T1,Frwd_Pss_T2,Bck_Pss_T1,Bck_Pss_T2,Crs_Suc_Atp_T1,Crs_Suc_Atp_T2,Lng_Pss_T1,Lng_Pss_T2,Key_Pss_T1,Key_Pss_T2,Rcv_Bls_T1,Rcv_Bls_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Blls_Plyd_T1,Blls_Plyd_Def_T1,Blls_Plyd_Mid_T1,Blls_Plyd_Atk_T1,Blls_Plyd_T2,Blls_Plyd_Def_T2,Blls_Plyd_Mid_T2,Blls_Plyd_Atk_T2,Tch_Def_Top_Left_T1,Tch_Def_Top_Ctr_Left_T1,Tch_Def_Top_Ctr_Right_T1,Tch_Def_Top_Right_T1,Tch_Def_Btm_Left_T1,Tch_Def_Btm_Ctr_Left_T1,Tch_Def_Btm_Ctr_Right_T1,Tch_Def_Btm_Right_T1,Tch_Mid_Top_Left_T1,Tch_Mid_Top_Ctr_Left_T1,Tch_Mid_Top_Ctr_Right_T1,Tch_Mid_Top_Right_T1,Tch_Mid_Btm_Left_T1,Tch_Mid_Btm_Ctr_Left_T1,Tch_Mid_Btm_Ctr_Right_T1,Tch_Mid_Btm_Right_T1,Tch_Atk_Top_Left_T1,Tch_Atk_Top_Ctr_Left_T1,Tch_Atk_Top_Ctr_Right_T1,Tch_Atk_Top_Right_T1,Tch_Atk_Btm_Left_T1,Tch_Atk_Btm_Ctr_Left_T1,Tch_Atk_Btm_Ctr_Right_T1,Tch_Atk_Btm_Right_T1,Tch_Def_Top_Left_T2,Tch_Def_Top_Ctr_Left_T2,Tch_Def_Top_Ctr_Right_T2,Tch_Def_Top_Right_T2,Tch_Def_Btm_Left_T2,Tch_Def_Btm_Ctr_Left_T2,Tch_Def_Btm_Ctr_Right_T2,Tch_Def_Btm_Right_T2,Tch_Mid_Top_Left_T2,Tch_Mid_Top_Ctr_Left_T2,Tch_Mid_Top_Ctr_Right_T2,Tch_Mid_Top_Right_T2,Tch_Mid_Btm_Left_T2,Tch_Mid_Btm_Ctr_Left_T2,Tch_Mid_Btm_Ctr_Right_T2,Tch_Mid_Btm_Right_T2,Tch_Atk_Top_Left_T2,Tch_Atk_Top_Ctr_Left_T2,Tch_Atk_Top_Ctr_Right_T2,Tch_Atk_Top_Right_T2,Tch_Atk_Btm_Left_T2,Tch_Atk_Btm_Ctr_Left_T2,Tch_Atk_Btm_Ctr_Right_T2,Tch_Atk_Btm_Right_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2020-2021,19,FIORENTINA,CROTONE,23/01/2021,ARTEMIO FRANCHI STADIUM,20:45,MARCO  PICCININI,GIOVANNI  BACCINI,VALERIO  COLAROSSI,SIMONE  SOZZA,PAOLO SILVIO  MAZZOLENI,GIACOMO PAGANESSI,2,1,H,CESARE PRANDELLI,GIOVANNI STROPPA,3-5-2,3-5-2,95'39,59'41,62%,27'52 (47%),16'06 (58%),11'46 (42%),31'49 (53%),20'10 (63%),11'39 (37%),3'55,4'05,6'35,5'21,3'50,4'06,4'52,4'02,5'00,5'38,5'07,7'10,12,7,6(2),3(1),1,0,0,0,5,2,0,0,5,1,2,4,1,3,4,2,1,1,4,2,8,5,5,3,11,17,315,373,84%,82%,86,72,175,168,NODATA,NODATA,5/12,4/13,31,20,2,1,53,25,0 (0),0 (0),110.518,28.401,72.203,9.914,112.931,26.845,75.321,10.765,6.7,6.9,9 (28%),17 (53%),6 (19%),7 (23%),11 (37%),12 (40%),614,190,284,140,678,230,309,139,10,42,33,3,9,41,30,22,30,45,39,28,25,45,33,39,16,22,23,28,6,11,18,16,12,32,45,3,27,48,46,17,35,45,51,22,56,31,40,29,35,19,26,11,21,9,8,10,DUSAN VLAHOVIC,9,SIMY,25,1.61,4,5.25
2020-2021,19,JUVENTUS,BOLOGNA,24/01/2021,ALLIANZ STADIUM STADIUM,12:30,JUAN LUCA  SACCHI,MAURO  VIVENZI,EMANUELE  PRENNA,DAVIDE  GHERSINI,GIANPAOLO  CALVARESE,PASQUALE DE MEO,2,0,H,ANDREA PIRLO,SINISA MIHAJLOVIC,4-4-2,4-2-3-1,95'36,51'09,54%,27'11 (53%),13'16 (49%),13'55 (51%),23'58 (47%),11'56 (50%),12'02 (50%),4'31,4'30,4'27,3'36,4'14,5'53,1'31,3'20,6'54,5'24,2'07,4'42,22,12,12(2),3(0),1,0,0,0,9,2,0,0,7,5,4,10,3,4,10,3,2,0,2,0,14,10,7,6,11,17,415,368,87%,86%,93,90,205,207,NODATA,NODATA,2/7,3/16,28,32,4,3,34,35,0 (0),0 (0),110.135,28.857,70.529,10.749,110.923,28.104,72.217,10.602,6.7,6.7,11 (29%),13 (34%),14 (37%),17 (46%),6 (16%),14 (38%),701,246,282,173,642,201,292,149,16,43,41,11,37,47,29,22,27,56,38,7,28,61,37,28,15,45,36,26,6,16,17,12,8,43,45,6,21,22,39,17,32,39,42,27,36,34,32,50,22,19,25,23,19,12,16,13,WESTON MCKENNIE,14,RICCARDO ORSOLINI,7,1.4,5,7
2020-2021,19,GENOA,CAGLIARI,24/01/2021,LUIGI FERRARIS STADIUM,15:00,MARCO  DI BELLO,MARCO  BRESMES,ORLANDO  PAGNOTTA,IVANO  PEZZUTO,PAOLO  VALERI,ALBERTO TEGONI,1,0,H,DAVIDE BALLARDINI,EUSEBIO DI FRANCESCO,3-5-2,4-3-2-1,94'17,56'37,60%,23'13 (41%),15'42 (68%),7'31 (32%),33'24 (59%),15'06 (45%),18'18 (55%),5'02,4'18,3'41,4'00,2'03,4'09,3'51,3'23,5'52,6'24,6'26,7'28,8,13,6(1),7(0),0,0,0,0,6,5,0,1,2,6,5,5,0,0,4,5,1,0,3,0,5,21,4,7,11,6,324,494,77%,84%,52,130,128,283,NODATA,NODATA,5/9,5/25,26,37,3,5,61,53,0 (0),0 (0),115.955,26.159,82.149,7.647,112.891,28.125,75.744,9.022,7.1,6.9,9 (29%),8 (26%),14 (45%),16 (27%),15 (26%),28 (47%),708,298,298,112,885,211,432,242,19,51,58,13,34,50,50,23,45,61,34,31,30,38,29,30,26,17,22,10,11,10,10,6,6,22,40,7,18,51,44,23,43,54,65,46,40,49,69,66,47,50,28,42,26,10,25,14,MATTIA DESTRO,23,RAZVAN MARIN,8,2.25,3.5,3.1
2020-2021,19,HELLAS VERONA,NAPOLI,24/01/2021,MARCANTONIO BENTEGODI STADIUM,15:00,MICHAEL  FABBRI,STEFANO  ALASSIO,NICCOLO'  PAGLIARDINI,ANTONIO  DI MARTINO,LUIGI  NASCA,FILIPPO MELI,3,1,H,IVAN JURIC,GENNARO GATTUSO,3-4-2-1,4-2-3-1,96'29,51'19,53%,24'19 (47%),13'38 (56%),10'41 (44%),27'00 (53%),13'48 (51%),13'12 (49%),3'08,4'11,6'18,4'12,3'34,2'56,3'00,3'54,4'25,4'48,4'07,6'46,15,12,7(3),4(1),0,0,0,0,6,4,0,0,2,6,2,4,6,2,7,4,3,1,2,1,14,4,3,2,13,8,338,364,78%,79%,80,116,165,208,NODATA,NODATA,5/13,0/0,29,27,2,2,47,38,0 (0),0 (0),115.415,28.24,77.098,10.077,113.12,27.788,75.606,9.726,7,6.8,18 (53%),8 (23%),8 (24%),16 (38%),12 (29%),14 (33%),673,218,297,158,708,217,307,184,9,27,39,13,20,35,51,24,18,39,63,37,19,43,36,42,21,20,37,30,10,8,11,21,19,33,40,10,26,31,41,17,35,33,54,23,40,41,46,35,33,34,24,31,15,19,15,13,MATTIA ZACCAGNI,20,HIRVING LOZANO,11,5,3.9,1.66
2020-2021,19,LAZIO,SASSUOLO,24/01/2021,OLIMPICO STADIUM,18:00,ANTONIO  GIUA,GIORGIO  PERETTI,CIRO  CARBONE,EUGENIO  ABBATTISTA,MARCO  GUIDA,ALESSIO TOLFO,2,1,H,SIMONE INZAGHI,ROBERTO DE ZERBI,3-5-2,4-2-3-1,94'05,54'26,58%,27'26 (50%),15'26 (56%),12'00 (44%),27'00 (50%),18'54 (70%),8'06 (30%),5'22,4'45,6'16,4'22,4'04,2'37,4'06,3'58,3'58,4'31,4'36,5'51,18,5,8(2),1(1),1,0,0,0,7,1,0,0,6,3,0,4,4,1,7,1,2,1,1,0,5,13,9,6,16,15,403,419,87%,86%,112,51,200,150,NODATA,NODATA,4/15,2/3,41,22,4,0,39,39,0 (0),0 (0),116.237,24.925,80.684,10.628,112.579,25.416,78.399,8.764,7.3,7,13 (27%),18 (36%),18 (37%),18 (45%),9 (22%),13 (33%),687,240,256,191,696,258,332,106,8,40,32,5,23,65,40,27,28,45,35,15,44,45,30,14,52,28,35,16,18,12,21,9,5,45,48,10,6,62,63,19,22,65,71,32,21,34,45,42,13,15,21,26,12,6,9,4,CIRO IMMOBILE,17,FRANCESCO CAPUTO,9,1.7,4,4.75
2020-2021,19,PARMA,SAMPDORIA,24/01/2021,ENNIO TARDINI STADIUM,20:45,GIANLUCA  MANGANIELLO,FILIPPO  VALERIANI,MARCO  SCATRAGLI,ALBERTO  SANTORO,DANIELE  DOVERI,STEFANO LIBERTI,0,2,A,ROBERTO D'AVERSA,CLAUDIO RANIERI,4-3-3,4-4-2,93'17,56'29,61%,28'56 (51%),16'09 (56%),12'47 (44%),27'33 (49%),11'02 (40%),16'31 (60%),5'06,4'24,4'21,5'07,4'41,5'17,5'56,5'03,5'04,3'32,2'55,5'03,11,11,7(0),4(2),0,1,0,0,4,3,2,0,3,4,2,5,1,3,6,4,0,1,1,0,12,14,5,4,14,14,398,372,84%,84%,84,101,213,215,NODATA,NODATA,5/14,6/16,47,31,4,1,49,51,0 (0),0 (0),107.4,26.573,73.028,7.799,108.928,26.782,73.733,8.413,6.8,6.9,11 (34%),16 (50%),5 (16%),10 (34%),14 (49%),5 (17%),655,201,299,155,636,176,294,166,9,33,30,14,23,33,47,12,26,47,48,17,36,43,43,39,24,29,29,31,7,13,11,11,9,33,44,8,12,30,24,16,17,44,48,35,27,35,40,48,33,17,42,37,11,6,10,10,JURAJ KUCKA,33,KEITA,10,3,3.4,2.4
2020-2021,20,TORINO,FIORENTINA,29/01/2021,OLIMPICO GRANDE TORINO STADIUM,20:45,MARCO  DI BELLO,STEFANO  LIBERTI,MICHELE  LOMBARDI,SIMONE  SOZZA,LUCA  BANTI,DAMIANO DI IORIO,1,1,D,DAVIDE NICOLA,CESARE PRANDELLI,3-5-2,3-5-2,97'11,49'36,51%,24'23 (49%),11'27 (47%),12'56 (53%),25'13 (51%),14'42 (58%),10'31 (42%),3'33,4'37,3'21,3'37,2'58,6'17,6'10,4'28,5'06,3'33,2'08,3'48,15,9,6(1),3(1),1,0,0,0,6,3,2,1,7,4,0,2,2,2,5,3,1,1,1,5,10,11,7,2,20,15,321,304,81%,79%,79,59,170,151,NODATA,NODATA,6/25,6/8,19,26,3,2,33,40,0 (0),0 (0),107.039,29.443,69.794,7.802,102.47,26.821,68.124,7.525,6.4,6.6,13 (27%),10 (21%),25 (52%),17 (44%),9 (23%),13 (33%),630,173,293,164,608,211,289,108,12,16,27,8,27,35,32,16,34,51,41,36,36,34,29,32,32,31,22,25,13,16,10,15,4,55,27,14,16,29,42,24,29,49,49,35,27,39,26,35,10,20,16,32,6,10,5,9,ANDREA BELOTTI,9,FRANCK RIBERY,7,2.7,3.25,2.62
2020-2021,20,BOLOGNA,MILAN,30/01/2021,RENATO DALL'ARA STADIUM,15:00,DANIELE  DOVERI,SERGIO  RANGHETTI,DARIO  CECCONI,FRANCESCO  FOURNEAU,LUCA  PAIRETTO,ALESSANDRO GIALLATINI,1,2,A,SINISA MIHAJLOVIC,STEFANO PIOLI,4-2-3-1,4-2-3-1,94'59,53'18,56%,25'09 (47%),11'48 (47%),13'21 (53%),28'09 (53%),14'20 (51%),13'49 (49%),4'00,3'07,4'45,2'41,4'21,6'15,5'01,4'04,5'31,3'21,5'57,4'15,10,17,5(1),13(2),0,1,0,3,5,8,0,1,3,2,10,4,2,2,4,9,1,0,2,4,17,11,6,4,13,12,338,381,80%,81%,75,60,158,182,NODATA,NODATA,4/10,3/6,23,24,3,4,41,57,0 (0),2 (1),105.851,28.717,68.109,9.025,105.424,29.777,66.163,9.484,6.4,6.4,10 (27%),13 (35%),14 (38%),13 (38%),10 (30%),11 (32%),686,217,313,156,716,267,318,131,6,43,36,7,21,34,49,21,48,52,46,22,40,38,31,36,25,34,26,28,16,13,7,7,7,43,39,16,28,60,47,27,33,58,40,21,23,24,67,52,13,22,33,15,10,14,19,5,LUKASZ SKORUPSKI,28,ANTE REBIC,12,4,3.8,1.85
2020-2021,20,SAMPDORIA,JUVENTUS,30/01/2021,LUIGI FERRARIS STADIUM,18:00,MICHAEL  FABBRI,STEFANO  ALASSIO,ALESSIO  TOLFO,FABIO  MARESCA,PAOLO  VALERI,ALBERTO TEGONI,0,2,A,CLAUDIO RANIERI,ANDREA PIRLO,4-4-2,4-4-2,97'03,56'02,58%,23'04 (41%),11'57 (52%),11'07 (48%),32'58 (59%),18'45 (57%),14'13 (43%),3'40,4'33,4'32,2'23,2'52,5'04,6'21,3'21,6'49,4'54,5'08,6'25,6,10,2(0),4(2),0,0,0,0,2,3,0,0,2,3,2,1,2,3,1,3,0,2,2,4,6,12,5,8,11,10,330,611,84%,91%,101,128,170,297,NODATA,NODATA,2/21,3/9,30,39,1,1,33,57,0 (0),0 (0),111.264,27.933,74.114,9.217,109.537,29.38,70.372,9.785,6.6,6.5,12 (43%),5 (18%),11 (39%),16 (41%),11 (28%),12 (31%),614,245,211,158,912,256,467,189,9,29,46,9,29,48,42,33,20,21,34,26,23,26,42,19,32,30,27,32,16,6,8,7,8,40,40,9,29,54,54,22,49,99,75,31,52,61,48,52,30,32,47,29,6,11,16,18,FABIO QUAGLIARELLA,27,FEDERICO CHIESA,22,7,4.5,1.45
2020-2021,20,INTER,BENEVENTO,30/01/2021,GIUSEPPE MEAZZA STADIUM,20:45,FABRIZIO  PASQUA,SALVATORE  LONGO,EDOARDO  RASPOLLINI,MATTEO  GARIGLIO,GIANPAOLO  CALVARESE,MAURO GALETTO,4,0,H,ANTONIO CONTE,FILIPPO INZAGHI,3-5-2,4-3-2-1,90'19,50'28,56%,32'04 (64%),16'45 (52%),15'19 (48%),18'24 (36%),14'01 (76%),4'23 (24%),5'39,6'11,5'15,6'10,3'09,5'40,2'18,3'06,2'41,3'09,4'42,2'28,13,0,8(3),0(0),1,0,0,0,6,0,1,0,5,0,0,4,0,0,7,0,1,0,3,1,8,2,7,3,9,14,568,328,91%,82%,143,29,302,98,NODATA,NODATA,7/17,1/4,23,20,2,0,26,38,0 (0),0 (0),108.122,25.554,73.895,8.673,106.575,24.232,74.292,8.051,6.9,6.8,13 (33%),16 (41%),10 (26%),2 (20%),5 (50%),3 (30%),810,205,396,209,561,255,245,61,13,27,20,8,30,44,41,22,46,42,69,30,59,32,62,56,49,39,34,26,22,16,10,13,10,45,50,16,22,46,32,34,24,34,44,29,24,19,30,41,12,3,7,10,11,5,6,7,ROMELU LUKAKU,9,GIANLUCA LAPADULA,9,1.22,6.5,12
2020-2021,20,SPEZIA,UDINESE,31/01/2021,ALBERTO PICCO STADIUM,12:30,ANTONIO  DI MARTINO,ORLANDO  PAGNOTTA,VITTORIO  DI GIOIA,MATTEO  MARCHETTI,EUGENIO  ABBATTISTA,FABIANO PRETI,0,1,A,VINCENZO ITALIANO,LUCA GOTTI,4-3-3,3-5-1-1,94'50,51'55,55%,31'39 (61%),16'10 (51%),15'29 (49%),20'16 (39%),13'01 (64%),7'15 (36%),6'48,3'54,4'34,5'45,4'20,6'18,3'48,4'25,4'44,2'14,2'29,2'36,9,6,5(0),4(1),0,1,0,1,4,4,0,1,2,1,2,5,2,1,2,3,0,0,1,4,13,16,2,2,18,19,477,246,87%,78%,113,46,236,97,NODATA,NODATA,10/22,2/4,45,15,2,1,24,53,0 (0),1 (1),99.332,24.486,67.829,7.017,101.394,24.359,69.231,7.804,6.6,7,15 (42%),8 (22%),13 (36%),8 (31%),9 (34%),9 (35%),753,229,330,194,533,227,215,91,11,34,23,15,21,51,45,29,33,56,38,30,40,52,45,36,41,32,31,38,13,10,12,17,7,26,45,17,18,36,53,25,25,42,43,15,16,33,28,13,20,15,12,16,12,11,2,3,SIMONE BASTONI,20,ROBERTO PEREYRA,37,3.75,3.2,2.1
2020-2021,20,ATALANTA,LAZIO,31/01/2021,GEWISS STADIUM STADIUM,15:00,DANIELE  CHIFFI,FILIPPO  MELI,MAURO  VIVENZI,JUAN LUCA  SACCHI,GIANLUCA  MANGANIELLO,GIORGIO PERETTI,1,3,A,GIAN PIERO GASPERINI,SIMONE INZAGHI,3-4-2-1,3-5-2,94'01,51'27,55%,28'02 (54%),14'07 (50%),13'55 (50%),23'25 (46%),16'15 (69%),7'10 (31%),5'35,3'20,5'33,3'49,4'49,4'56,3'34,3'31,3'59,4'14,3'55,4'12,8,15,4(1),7(3),0,0,0,0,4,6,1,1,3,3,4,2,1,5,3,6,0,3,1,3,9,12,2,2,12,20,429,299,80%,71%,99,44,232,93,NODATA,NODATA,7/11,0/0,41,40,1,2,46,46,0 (0),0 (0),112.127,27.25,74.414,10.463,118.315,25.663,81.622,11.03,6.9,7.4,25 (51%),10 (20%),14 (29%),12 (33%),13 (36%),11 (31%),825,232,419,174,712,340,266,106,5,19,40,22,19,54,40,33,44,44,59,37,49,48,57,81,27,28,43,34,9,10,11,12,6,50,55,17,40,78,57,37,44,38,42,30,41,24,31,16,19,13,27,15,12,15,4,1,JOAKIM MAEHLE,3,SERGEJ MILINKOVIC-SAVIC,21,1.7,4.2,4.33
2020-2021,20,CAGLIARI,SASSUOLO,31/01/2021,SARDEGNA ARENA STADIUM,15:00,MAURIZIO  MARIANI,PASQUALE  DE MEO,ALESSIO  BERTI,VALERIO  MARINI,PAOLO SILVIO  MAZZOLENI,CIRO CARBONE,1,1,D,EUSEBIO DI FRANCESCO,ROBERTO DE ZERBI,4-3-2-1,4-2-3-1,95'06,45'36,48%,13'06 (29%),7'43 (59%),5'23 (41%),32'30 (71%),19'09 (59%),13'21 (41%),2'43,2'25,3'18,1'47,0'45,2'08,6'56,4'46,4'48,6'05,3'28,6'27,9,14,6(1),5(1),2,2,0,0,4,5,1,1,1,5,5,3,2,4,3,6,1,1,5,2,6,12,3,14,10,11,193,523,77%,88%,42,120,83,241,NODATA,NODATA,4/8,4/13,22,32,2,4,45,31,0 (0),0 (0),105.755,25.59,71.495,8.67,100.528,24.715,67.942,7.871,6.8,6.6,8 (31%),8 (31%),10 (38%),16 (41%),11 (28%),12 (31%),477,218,176,83,820,221,381,218,7,38,34,9,21,39,38,32,16,27,35,31,18,9,21,19,14,8,22,9,11,6,5,8,10,27,26,13,19,57,47,22,46,81,61,28,57,43,31,34,40,35,33,44,16,9,26,15,JOAO PEDRO,10,JEREMIE BOGA,7,3,3.5,2.3
2020-2021,20,CROTONE,GENOA,31/01/2021,EZIO SCIDA STADIUM,15:00,PIERO  GIACOMELLI,ANDREA  TARDINO,MARCELLO  ROSSI,FEDERICO  DIONISI,LUIGI  NASCA,RODOLFO DI VUOLO,0,3,A,GIOVANNI STROPPA,DAVIDE BALLARDINI,3-5-2,3-5-2,94'57,53'19,56%,26'12 (49%),16'41 (64%),9'31 (36%),27'07 (51%),14'07 (52%),13'00 (48%),4'34,2'19,5'08,5'03,2'36,6'32,3'53,5'42,3'19,4'34,4'54,4'45,9,10,4(0),6(3),0,0,1,0,2,4,1,0,2,3,2,4,3,1,4,6,0,2,1,9,9,9,3,11,15,22,384,279,80%,75%,63,78,131,148,NODATA,NODATA,2/14,6/13,28,26,3,2,36,41,0 (0),0 (0),113.495,26.203,78.492,8.8,111.772,26.835,76.865,8.072,7.2,7.2,11 (35%),12 (39%),8 (26%),21 (44%),10 (21%),17 (35%),687,255,310,122,604,204,246,154,23,61,33,9,30,40,37,22,34,63,47,38,28,42,42,16,13,25,31,14,9,8,7,15,9,27,55,7,24,37,31,14,16,39,45,32,20,18,38,38,33,11,22,26,25,13,14,10,JUNIOR MESSIAS,30,MATTIA DESTRO,23,2.9,3.3,2.45
2020-2021,20,NAPOLI,PARMA,31/01/2021,Diego Armando MARADONA STADIUM,18:00,FEDERICO  LA PENNA,GIOVANNI  BACCINI,VITO  MASTRODONATO,MARCO  SERRA,ALEANDRO  DI PAOLO,STEFANO DEL GIOVANE,2,0,H,GENNARO GATTUSO,ROBERTO D'AVERSA,4-3-3,4-3-3,94'34,51'03,54%,23'10 (45%),15'25 (67%),7'45 (33%),27'53 (55%),16'14 (58%),11'39 (42%),5'01,3'09,5'00,3'02,2'32,4'26,3'35,5'30,5'04,6'07,3'52,3'45,10,4,6(2),1(0),0,0,0,0,1,1,2,0,2,2,1,2,2,1,6,1,0,0,0,3,7,12,7,6,15,17,379,431,82%,85%,61,64,141,182,NODATA,NODATA,3/5,5/12,30,43,2,1,34,43,0 (0),0 (0),112.579,26.106,75.611,10.862,108.87,26.885,72.045,9.94,7,6.7,10 (29%),11 (33%),13 (38%),18 (53%),6 (18%),10 (29%),685,258,286,141,743,253,374,116,10,46,26,8,42,48,47,31,34,36,41,49,35,25,29,37,33,18,19,21,32,7,7,4,5,28,42,16,29,43,57,33,33,69,64,40,53,33,42,40,23,22,16,22,9,5,9,10,ELJIF ELMAS,7,JURAJ KUCKA,33,1.3,5.5,10
2020-2021,20,ROMA,HELLAS VERONA,31/01/2021,OLIMPICO STADIUM,20:45,MARCO  PICCININI,GIACOMO  PAGANESSI,TARCISIO  VILLA,ANTONIO  GIUA,MARCO  GUIDA,ALESSANDRO LO CICERO,3,1,H,PAULO FONSECA,IVAN JURIC,3-4-2-1,3-4-2-1,95'35,54'36,57%,28'21 (52%),18'24 (65%),9'57 (35%),26'15 (48%),15'33 (59%),10'42 (41%),4'55,2'43,6'44,4'29,3'28,6'01,4'18,2'55,5'24,3'42,3'51,6'05,15,6,6(3),2(1),2,0,0,0,5,2,0,0,6,1,1,3,3,3,8,2,2,1,2,6,8,14,4,6,15,11,361,388,79%,80%,69,90,164,209,NODATA,NODATA,1/6,6/10,22,21,4,1,50,39,0 (0),0 (0),111.57,27.69,72.965,10.915,113.244,26.506,75.059,11.679,6.9,7.1,4 (15%),18 (70%),4 (15%),11 (41%),10 (37%),6 (22%),712,271,313,128,733,196,380,157,17,45,41,9,46,42,43,28,33,45,62,35,31,45,33,29,13,25,29,22,7,6,19,7,6,28,36,5,18,27,54,22,24,45,71,36,44,57,48,55,38,17,24,35,15,4,16,8,HENRIKH MKHITARYAN,77,EBRIMA COLLEY,90,1.65,3.9,5.25
2020-2021,21,FIORENTINA,INTER,05/02/2021,ARTEMIO FRANCHI STADIUM,20:45,FEDERICO  LA PENNA,FABIANO  PRETI,MAURO  GALETTO,FABRIZIO  PASQUA,PAOLO SILVIO  MAZZOLENI,MAURO VIVENZI,0,2,A,CESARE PRANDELLI,ANTONIO CONTE,3-5-2,3-5-2,95'00,63'34,67%,29'30 (46%),15'33 (53%),13'57 (47%),34'04 (54%),23'19 (68%),10'45 (32%),6'55,3'10,6'20,4'24,3'40,5'01,5'18,7'44,4'29,4'06,5'06,7'21,15,14,4(0),7(2),0,0,0,0,3,5,1,0,8,4,5,3,3,3,2,9,0,2,0,1,8,5,7,7,9,10,396,503,87%,88%,106,124,241,256,NODATA,NODATA,4/17,3/9,32,18,1,7,30,36,0 (0),0 (0),115.176,26.439,78.73,10.007,114.918,26.654,78.64,9.624,7,7,12 (27%),9 (20%),24 (53%),12 (28%),5 (12%),26 (60%),672,193,296,183,763,267,317,179,4,20,42,7,14,44,41,21,21,42,44,17,36,41,49,46,47,36,24,29,24,8,8,7,6,33,48,17,26,37,59,41,31,49,36,23,62,62,31,23,41,43,23,17,8,27,10,10,GIACOMO BONAVENTURA,5,NICOLO' BARELLA,23,6.5,4.2,1.5
2020-2021,21,ATALANTA,TORINO,06/02/2021,GEWISS STADIUM STADIUM,15:00,FRANCESCO  FOURNEAU,MATTEO  PASSERI,RODOLFO  DI VUOLO,DANIELE  DOVERI,PAOLO  VALERI,DANIELE BINDONI,3,3,D,GIAN PIERO GASPERINI,DAVIDE NICOLA,3-4-1-2,3-5-2,96'22,42'31,44%,23'21 (55%),11'30 (49%),11'51 (51%),19'10 (45%),12'18 (64%),6'52 (36%),4'51,3'12,2'15,4'58,4'25,3'40,2'08,2'56,4'51,2'50,3'42,2'43,10,19,5(3),11(3),0,3,0,1,5,10,1,2,3,5,4,1,2,3,6,9,2,1,3,1,7,14,4,3,24,17,369,256,80%,75%,114,44,206,114,NODATA,NODATA,3/5,5/10,35,28,3,3,44,42,0 (0),1 (0),108.419,27.927,70.261,10.231,109.24,27.585,71.295,10.36,6.7,6.7,16 (35%),11 (24%),19 (41%),11 (28%),14 (36%),14 (36%),688,183,315,190,587,229,261,97,2,33,18,10,27,44,32,17,33,46,54,29,50,37,35,31,42,29,41,29,13,15,13,8,7,26,20,14,19,83,29,31,34,52,44,25,27,27,29,23,6,17,21,10,11,10,17,5,ROBIN GOSENS,8,FEDERICO BONAZZOLI,26,1.4,5,7
